initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB
15,44,3,7,0,0.0555556,1
23,33,2,19,0,0.037037,1
24,32,2,20,0,0.037037,1
30,34,9,11,0,0.166667,1
16,39,1,14,0,0.0185185,1
26,34,4,16,0,0.0740741,1
30,32,8,14,0,0.148148,1
30,33,7,14,0,0.12963,1
15,41,2,11,0,0.037037,1
21,34,1,19,0,0.0185185,1
21,37,4,13,0,0.0740741,1
21,36,3,15,0,0.0555556,1
25,34,4,16,0,0.0740741,1
14,42,2,10,0,0.037037,1
20,38,3,13,0,0.0555556,1
27,30,3,21,0,0.0555556,1
22,37,4,13,0,0.0740741,1
17,39,2,13,0,0.037037,1
21,35,2,17,0,0.037037,1
15,39,0,15,0,0,1
