initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
21,36,2,16,0,0.037037,1,21
18,38,2,14,0,0.037037,1,18
18,40,4,10,0,0.0740741,1,18
20,36,2,16,0,0.037037,1,20
12,44,2,8,0,0.037037,1,12
10,47,3,4,0,0.0555556,1,10
18,40,4,10,0,0.0740741,1,18
18,38,2,14,0,0.037037,1,18
19,39,3,12,0,0.0555556,1,19
18,38,2,14,0,0.037037,1,18
19,39,4,11,0,0.0740741,1,19
13,43,2,9,0,0.037037,1,13
20,38,3,13,0,0.0555556,1,20
14,41,1,12,0,0.0185185,1,14
25,34,4,16,0,0.0740741,1,25
13,42,1,11,0,0.0185185,1,13
21,33,0,21,0,0,1,21
20,38,3,13,0,0.0555556,1,20
