initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
53,19,13,19,3,0.240741
54,19,12,20,3,0.222222
52,18,12,18,6,0.222222
50,21,13,18,2,0.240741
48,21,12,17,4,0.222222
54,21,13,17,3,0.240741
51,24,13,16,1,0.240741
53,21,16,16,1,0.296296
59,19,17,14,4,0.314815
56,18,15,16,5,0.277778
57,18,15,17,4,0.277778
47,22,11,18,3,0.203704
45,23,10,21,0,0.185185
59,21,17,15,1,0.314815
51,21,13,20,0,0.240741
50,26,12,16,0,0.222222
61,19,17,13,5,0.314815
46,23,10,19,2,0.185185
56,16,12,20,6,0.222222
49,22,12,19,1,0.222222
56,17,14,17,6,0.259259
62,12,16,17,9,0.296296
60,14,16,14,10,0.296296
52,21,12,19,2,0.222222
53,22,16,15,1,0.296296
55,22,14,17,1,0.259259
47,24,12,18,0,0.222222
58,15,17,17,5,0.314815
49,19,11,19,5,0.203704
56,19,14,19,2,0.259259
62,17,21,12,4,0.388889
54,23,15,14,2,0.277778
52,21,12,20,1,0.222222
53,20,14,17,3,0.259259
54,18,13,18,5,0.240741
55,19,13,17,5,0.240741
46,20,11,21,2,0.203704
55,21,15,16,2,0.277778
48,22,11,21,0,0.203704
58,19,19,13,3,0.351852
51,21,13,17,3,0.240741
62,19,20,14,1,0.37037
57,16,12,21,5,0.222222
47,21,12,18,3,0.222222
51,24,14,15,1,0.259259
59,18,17,14,5,0.314815
55,23,16,14,1,0.296296
59,18,19,13,4,0.351852
55,20,15,16,3,0.277778
39,28,11,15,0,0.203704
66,20,22,10,2,0.407407
57,21,17,14,2,0.314815
59,15,14,18,7,0.259259
67,17,19,13,5,0.351852
51,20,15,15,4,0.277778
64,15,14,22,3,0.259259
56,18,15,19,2,0.277778
58,20,17,14,3,0.314815
64,14,16,17,7,0.296296
39,26,10,18,0,0.185185
52,20,14,17,3,0.259259
52,20,11,20,3,0.203704
54,20,11,18,5,0.203704
52,18,14,17,5,0.259259
51,22,14,16,2,0.259259
58,17,17,16,4,0.314815
55,21,15,14,4,0.277778
51,21,14,18,1,0.259259
60,18,18,13,5,0.333333
56,22,14,17,1,0.259259
51,20,11,21,2,0.203704
50,18,10,22,4,0.185185
60,12,13,21,8,0.240741
57,18,18,15,3,0.333333
53,22,12,18,2,0.222222
64,16,17,17,4,0.314815
52,23,16,14,1,0.296296
51,18,12,18,6,0.222222
47,22,13,19,0,0.240741
55,18,12,20,4,0.222222
55,18,17,15,4,0.314815
63,20,17,15,2,0.314815
50,21,15,18,0,0.277778
43,28,12,14,0,0.222222
50,20,13,18,3,0.240741
56,18,12,18,6,0.222222
51,22,13,17,2,0.240741
50,20,14,17,3,0.259259
50,21,14,17,2,0.259259
59,16,18,15,5,0.333333
57,19,15,15,5,0.277778
58,17,14,18,5,0.259259
58,16,16,17,5,0.296296
68,14,18,16,6,0.333333
58,17,16,18,3,0.296296
46,22,11,19,2,0.203704
48,25,14,15,0,0.259259
49,21,13,17,3,0.240741
55,13,10,21,10,0.185185
50,25,17,12,0,0.314815
46,25,8,21,0,0.148148
63,17,19,16,2,0.351852
61,17,15,18,4,0.277778
56,18,15,18,3,0.277778
63,20,21,10,3,0.388889
53,21,13,18,2,0.240741
42,24,10,20,0,0.185185
55,19,16,16,3,0.296296
53,19,13,19,3,0.240741
61,20,20,11,3,0.37037
61,17,16,17,4,0.296296
58,19,16,17,2,0.296296
62,17,19,14,4,0.351852
54,22,16,14,2,0.296296
61,17,17,18,2,0.314815
56,15,13,20,6,0.240741
54,20,13,18,3,0.240741
55,20,14,16,4,0.259259
59,17,13,18,6,0.240741
51,22,13,16,3,0.240741
58,19,17,14,4,0.314815
51,18,10,20,6,0.185185
63,19,17,16,2,0.314815
53,20,13,18,3,0.240741
52,27,15,12,0,0.277778
55,15,12,19,8,0.222222
52,22,16,15,1,0.296296
63,17,15,17,5,0.277778
46,24,11,19,0,0.203704
56,22,15,14,3,0.277778
47,20,12,18,4,0.222222
51,18,11,20,5,0.203704
53,18,12,19,5,0.222222
64,15,16,17,6,0.296296
55,22,13,17,2,0.240741
52,18,14,16,6,0.259259
50,18,11,19,6,0.203704
65,15,17,15,7,0.314815
55,20,14,17,3,0.259259
47,24,14,15,1,0.259259
51,22,15,15,2,0.277778
60,17,19,14,4,0.351852
59,18,14,17,5,0.259259
52,16,11,22,5,0.203704
59,20,17,12,5,0.314815
53,18,13,17,6,0.240741
67,17,24,12,1,0.444444
47,21,10,20,3,0.185185
57,21,16,15,2,0.296296
55,17,15,19,3,0.277778
52,17,12,20,5,0.222222
54,19,12,18,5,0.222222
58,17,16,15,6,0.296296
63,16,19,15,4,0.351852
54,21,13,18,2,0.240741
57,18,13,18,5,0.240741
58,19,15,17,3,0.277778
54,22,12,19,1,0.222222
59,18,16,16,4,0.296296
55,21,17,15,1,0.314815
47,22,11,19,2,0.203704
45,22,11,19,2,0.203704
53,23,17,13,1,0.314815
55,21,14,16,3,0.259259
58,16,16,17,5,0.296296
56,22,15,15,2,0.277778
39,27,9,18,0,0.166667
48,22,11,18,3,0.203704
48,23,11,18,2,0.203704
50,20,12,18,4,0.222222
52,20,13,19,2,0.240741
57,18,16,16,4,0.296296
60,18,18,14,4,0.333333
60,15,16,17,6,0.296296
61,17,19,11,7,0.351852
47,26,13,15,0,0.240741
59,18,16,18,2,0.296296
59,19,17,14,4,0.314815
57,20,17,15,2,0.314815
41,23,9,20,2,0.166667
62,21,17,13,3,0.314815
62,16,21,14,3,0.388889
41,28,10,16,0,0.185185
47,24,12,17,1,0.222222
54,21,16,15,2,0.296296
46,22,11,18,3,0.203704
49,20,13,17,4,0.240741
56,22,13,17,2,0.240741
61,23,17,12,2,0.314815
48,23,12,18,1,0.222222
67,16,19,14,5,0.351852
62,16,18,16,4,0.333333
63,19,17,14,4,0.314815
51,19,11,19,5,0.203704
56,17,16,16,5,0.296296
49,25,15,14,0,0.277778
56,19,17,13,5,0.314815
40,28,11,15,0,0.203704
51,17,14,17,6,0.259259
50,22,12,19,1,0.222222
55,18,13,19,4,0.240741
59,18,17,15,4,0.314815
49,17,9,22,6,0.166667
56,23,19,11,1,0.351852
67,14,17,18,5,0.314815
49,21,13,17,3,0.240741
47,20,12,22,0,0.222222
60,14,18,17,5,0.333333
48,21,12,18,3,0.222222
55,17,16,15,6,0.296296
42,23,10,19,2,0.185185
52,22,16,15,1,0.296296
50,22,14,17,1,0.259259
60,18,16,16,4,0.296296
53,19,14,19,2,0.259259
63,16,17,16,5,0.314815
52,21,11,19,3,0.203704
57,21,14,18,1,0.259259
61,14,16,16,8,0.296296
61,14,16,20,4,0.296296
51,18,13,18,5,0.240741
43,23,9,21,1,0.166667
41,22,8,22,2,0.148148
53,22,11,19,2,0.203704
60,20,17,13,4,0.314815
48,22,13,17,2,0.240741
60,15,15,18,6,0.277778
50,23,12,18,1,0.222222
62,15,15,20,4,0.277778
73,15,22,12,5,0.407407
51,23,16,14,1,0.296296
62,13,18,14,9,0.333333
50,19,11,19,5,0.203704
48,22,11,18,3,0.203704
54,22,16,16,0,0.296296
66,16,20,14,4,0.37037
38,24,7,22,1,0.12963
56,20,15,16,3,0.277778
46,23,12,17,2,0.222222
54,25,17,12,0,0.314815
54,19,14,18,3,0.259259
54,15,13,19,7,0.240741
51,20,13,19,2,0.240741
65,15,14,18,7,0.259259
56,19,12,20,3,0.222222
55,17,12,19,6,0.222222
59,21,19,13,1,0.351852
67,17,18,17,2,0.333333
55,16,15,19,4,0.277778
55,16,15,20,3,0.277778
36,28,7,19,0,0.12963
47,21,13,18,2,0.240741
48,21,13,20,0,0.240741
50,23,16,14,1,0.296296
49,23,13,17,1,0.240741
61,17,20,16,1,0.37037
54,21,14,17,2,0.259259
55,19,15,17,3,0.277778
70,14,22,14,4,0.407407
53,21,16,15,2,0.296296
61,18,20,15,1,0.37037
59,16,14,20,4,0.259259
48,22,13,18,1,0.240741
63,18,18,15,3,0.333333
49,22,13,17,2,0.240741
53,23,15,15,1,0.277778
56,19,17,16,2,0.314815
64,14,18,15,7,0.333333
60,18,14,18,4,0.259259
54,20,14,16,4,0.259259
61,20,19,13,2,0.351852
59,24,18,12,0,0.333333
56,20,15,16,3,0.277778
49,23,12,18,1,0.222222
64,15,17,16,6,0.314815
55,21,15,16,2,0.277778
59,15,13,18,8,0.240741
54,16,13,19,6,0.240741
45,23,12,18,1,0.222222
62,15,18,16,5,0.333333
56,21,17,16,0,0.314815
51,22,14,17,1,0.259259
44,25,11,18,0,0.203704
68,18,20,13,3,0.37037
72,12,20,17,5,0.37037
46,24,12,17,1,0.222222
51,22,13,16,3,0.240741
57,22,15,16,1,0.277778
50,23,15,16,0,0.277778
50,22,13,17,2,0.240741
59,17,15,18,4,0.277778
49,20,13,19,2,0.240741
61,20,17,13,4,0.314815
62,17,16,16,5,0.296296
60,18,16,16,4,0.296296
64,15,16,15,8,0.296296
66,15,18,19,2,0.333333
55,18,16,16,4,0.296296
50,19,14,19,2,0.259259
61,16,16,18,4,0.296296
55,23,18,13,0,0.333333
65,17,16,16,5,0.296296
58,18,16,15,5,0.296296
43,25,13,16,0,0.240741
59,18,20,14,2,0.37037
44,25,9,20,0,0.166667
53,19,15,18,2,0.277778
57,18,14,17,5,0.259259
51,17,11,19,7,0.203704
55,23,18,12,1,0.333333
52,23,13,16,2,0.240741
50,19,11,19,5,0.203704
41,25,9,20,0,0.166667
56,13,11,23,7,0.203704
42,25,10,19,0,0.185185
55,22,16,14,2,0.296296
54,24,15,15,0,0.277778
51,21,15,15,3,0.277778
50,18,11,19,6,0.203704
53,16,11,21,6,0.203704
50,22,12,17,3,0.222222
58,21,16,15,2,0.296296
62,13,15,21,5,0.277778
50,23,14,15,2,0.259259
53,20,15,17,2,0.277778
55,16,15,18,5,0.277778
59,18,17,14,5,0.314815
60,16,16,15,7,0.296296
73,11,18,18,7,0.333333
46,26,14,14,0,0.259259
50,23,15,15,1,0.277778
42,28,10,16,0,0.185185
56,23,18,12,1,0.333333
53,22,15,15,2,0.277778
57,20,17,15,2,0.314815
56,21,13,17,3,0.240741
56,21,15,16,2,0.277778
49,24,14,15,1,0.259259
50,20,10,20,4,0.185185
40,26,9,19,0,0.166667
58,20,18,14,2,0.333333
56,22,16,15,1,0.296296
57,21,14,16,3,0.259259
57,19,16,17,2,0.296296
54,18,13,18,5,0.240741
63,19,18,13,4,0.333333
51,22,15,14,3,0.277778
45,22,10,20,2,0.185185
51,19,13,17,5,0.240741
61,20,19,12,3,0.351852
51,21,12,19,2,0.222222
55,21,19,11,3,0.351852
57,21,15,17,1,0.277778
50,20,11,19,4,0.203704
52,22,14,16,2,0.259259
51,21,16,14,3,0.296296
51,20,11,20,3,0.203704
44,24,9,20,1,0.166667
53,22,18,11,3,0.333333
57,21,16,14,3,0.296296
55,18,16,16,4,0.296296
47,21,12,17,4,0.222222
57,16,15,18,5,0.277778
50,20,13,18,3,0.240741
57,19,17,15,3,0.314815
57,17,13,18,6,0.240741
49,21,11,19,3,0.203704
57,19,17,16,2,0.314815
70,14,23,12,5,0.425926
44,24,11,19,0,0.203704
54,19,17,14,4,0.314815
61,19,18,15,2,0.333333
51,24,16,13,1,0.296296
62,17,19,14,4,0.351852
44,28,10,16,0,0.185185
49,24,15,14,1,0.277778
44,24,9,20,1,0.166667
55,23,17,13,1,0.314815
55,19,16,16,3,0.296296
50,17,10,21,6,0.185185
47,21,10,20,3,0.185185
52,22,13,18,1,0.240741
60,13,13,21,7,0.240741
54,19,16,14,5,0.296296
50,19,13,18,4,0.240741
62,21,20,12,1,0.37037
46,26,13,15,0,0.240741
42,26,9,19,0,0.166667
49,22,12,19,1,0.222222
42,24,10,19,1,0.185185
67,16,19,13,6,0.351852
51,23,13,16,2,0.240741
57,17,17,16,4,0.314815
52,21,14,17,2,0.259259
56,20,18,12,4,0.333333
49,22,12,19,1,0.222222
57,17,14,17,6,0.259259
69,15,19,13,7,0.351852
41,23,7,22,2,0.12963
53,19,13,19,3,0.240741
48,26,15,13,0,0.277778
60,18,16,16,4,0.296296
46,21,9,21,3,0.166667
50,20,10,21,3,0.185185
67,14,21,15,4,0.388889
51,20,12,19,3,0.222222
59,18,15,16,5,0.277778
48,21,14,16,3,0.259259
53,20,16,17,1,0.296296
54,18,12,20,4,0.222222
61,16,17,16,5,0.314815
47,25,12,17,0,0.222222
50,22,11,20,1,0.203704
57,22,17,13,2,0.314815
55,18,14,19,3,0.259259
46,26,13,15,0,0.240741
50,20,10,19,5,0.185185
63,23,19,11,1,0.351852
54,22,12,18,2,0.222222
55,19,14,17,4,0.259259
59,19,16,15,4,0.296296
53,19,13,17,5,0.240741
54,21,16,15,2,0.296296
49,20,12,18,4,0.222222
55,18,14,17,5,0.259259
50,22,13,17,2,0.240741
52,19,13,16,6,0.240741
38,25,8,21,0,0.148148
54,21,17,13,3,0.314815
53,20,14,18,2,0.259259
52,25,16,13,0,0.296296
65,19,18,14,3,0.333333
49,24,15,14,1,0.277778
48,22,10,19,3,0.185185
57,19,15,17,3,0.277778
54,21,14,17,2,0.259259
47,22,11,20,1,0.203704
61,19,17,16,2,0.314815
54,22,16,15,1,0.296296
61,21,19,14,0,0.351852
45,24,11,19,0,0.203704
48,22,11,19,2,0.203704
58,21,17,14,2,0.314815
52,18,12,19,5,0.222222
60,17,17,16,4,0.314815
60,19,19,16,0,0.351852
45,24,11,18,1,0.203704
63,18,20,11,5,0.37037
60,17,16,18,3,0.296296
42,27,11,16,0,0.203704
53,23,16,14,1,0.296296
60,17,16,17,4,0.296296
40,25,8,21,0,0.148148
50,24,11,18,1,0.203704
55,20,14,19,1,0.259259
57,16,16,17,5,0.296296
58,22,18,11,3,0.333333
52,21,11,20,2,0.203704
52,22,14,16,2,0.259259
54,15,12,20,7,0.222222
56,21,16,15,2,0.296296
43,23,10,19,2,0.185185
69,15,20,13,6,0.37037
59,22,17,13,2,0.314815
48,20,12,19,3,0.222222
66,15,15,17,7,0.277778
66,12,15,17,10,0.277778
65,14,18,18,4,0.333333
54,21,15,15,3,0.277778
53,20,13,18,3,0.240741
61,16,18,16,4,0.333333
51,23,12,19,0,0.222222
65,19,18,15,2,0.333333
54,18,15,17,4,0.277778
62,17,20,14,3,0.37037
61,13,15,18,8,0.277778
63,18,18,14,4,0.333333
45,24,11,18,1,0.203704
50,22,14,17,1,0.259259
55,19,17,15,3,0.314815
54,21,17,14,2,0.314815
65,15,17,18,4,0.314815
61,14,16,16,8,0.296296
63,17,19,14,4,0.351852
59,16,14,19,5,0.259259
65,14,19,16,5,0.351852
33,30,6,18,0,0.111111
60,16,15,17,6,0.277778
63,16,20,15,3,0.37037
58,15,16,18,5,0.296296
48,23,12,17,2,0.222222
61,16,17,17,4,0.314815
47,22,9,20,3,0.166667
59,19,16,15,4,0.296296
60,19,20,13,2,0.37037
50,21,14,17,2,0.259259
53,19,16,17,2,0.296296
49,24,14,15,1,0.259259
48,21,10,21,2,0.185185
63,16,19,15,4,0.351852
58,19,18,13,4,0.333333
44,24,9,20,1,0.166667
44,26,12,16,0,0.222222
51,19,13,18,4,0.240741
53,17,13,20,4,0.240741
58,25,14,15,0,0.259259
65,16,17,16,5,0.314815
43,23,10,19,2,0.185185
56,18,18,15,3,0.333333
53,22,13,17,2,0.240741
49,19,12,19,4,0.222222
54,20,13,17,4,0.240741
51,23,15,14,2,0.277778
45,21,10,21,2,0.185185
49,21,14,17,2,0.259259
52,18,15,16,5,0.277778
49,20,10,19,5,0.185185
59,18,16,18,2,0.296296
54,17,11,20,6,0.203704
49,18,8,23,5,0.148148
73,9,19,15,11,0.351852
53,22,16,16,0,0.296296
43,28,15,11,0,0.277778
43,27,13,14,0,0.240741
45,22,12,18,2,0.222222
60,16,16,16,6,0.296296
59,20,15,15,4,0.277778
53,18,13,18,5,0.240741
54,23,17,13,1,0.314815
54,22,14,16,2,0.259259
55,21,17,14,2,0.314815
68,17,16,17,4,0.296296
67,15,17,16,6,0.314815
50,23,12,18,1,0.222222
54,17,13,19,5,0.240741
55,16,15,17,6,0.277778
48,21,14,17,2,0.259259
56,23,21,10,0,0.388889
39,24,8,22,0,0.148148
43,22,7,22,3,0.12963
43,25,10,19,0,0.185185
45,19,8,23,4,0.148148
53,21,14,15,4,0.259259
55,20,17,13,4,0.314815
44,20,9,21,4,0.166667
45,24,8,21,1,0.148148
46,23,13,17,1,0.240741
72,13,22,12,7,0.407407
60,19,18,12,5,0.333333
60,20,18,12,4,0.333333
56,24,16,14,0,0.296296
57,18,16,16,4,0.296296
54,23,16,15,0,0.296296
48,26,15,13,0,0.277778
47,19,10,22,3,0.185185
51,20,12,20,2,0.222222
53,19,12,21,2,0.222222
