beta_nMTCD
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
1
0
0
1
0
0
3
1
2
0
2
4
1
4
3
3
2
2
2
2
5
3
2
3
4
5
3
3
3
6
5
6
6
5
3
4
3
8
1
2
6
2
2
8
5
6
6
3
12
8
8
9
7
6
11
6
7
12
11
10
12
10
14
9
11
8
11
9
9
6
12
16
12
10
17
7
10
13
11
9
9
13
10
16
18
15
16
14
21
15
12
22
19
27
12
17
19
18
12
17
18
19
19
23
24
21
14
15
18
23
25
19
20
25
22
21
27
13
26
22
23
16
28
11
30
33
24
39
17
20
21
22
30
29
19
19
24
30
24
24
27
26
37
38
34
33
22
35
37
28
27
42
30
36
38
29
32
25
30
40
36
37
44
38
29
21
32
33
31
39
39
31
42
43
31
38
34
45
32
46
35
39
37
33
41
32
41
34
38
38
38
33
31
54
42
38
41
32
36
43
43
38
41
48
38
42
44
49
42
46
54
45
42
51
40
48
43
43
43
48
45
43
43
56
49
55
37
40
43
53
45
53
49
45
59
44
48
46
49
51
44
51
47
44
51
52
50
52
39
54
53
49
50
37
57
53
58
53
41
42
52
48
45
43
52
59
55
59
55
56
46
54
68
65
55
54
59
51
66
47
51
54
62
53
62
49
59
53
54
54
65
49
56
63
62
47
53
59
51
56
55
61
59
51
65
63
48
63
54
72
52
45
58
56
67
48
55
48
56
56
57
57
57
72
51
65
60
55
57
76
79
67
58
60
73
75
78
56
49
64
60
70
50
58
63
68
74
63
68
63
52
54
62
59
54
63
64
72
63
47
56
62
64
76
62
51
70
48
67
56
65
55
62
66
57
55
66
57
59
65
57
53
69
64
59
69
76
56
65
75
62
78
66
64
49
66
55
55
46
68
65
51
74
64
56
47
73
52
57
58
69
65
61
45
68
50
66
56
66
66
61
56
56
78
67
68
62
51
56
69
64
53
61
63
62
61
67
48
59
71
60
58
66
62
57
42
50
65
60
66
54
57
45
63
51
65
66
58
62
70
48
54
63
65
53
64
53
56
51
67
67
61
56
56
64
56
54
65
41
43
66
55
55
59
54
59
54
57
54
56
66
55
60
47
54
58
54
66
55
45
45
60
52
46
59
49
50
52
62
62
65
53
44
58
55
52
55
46
53
60
53
44
48
47
43
50
44
52
64
56
47
54
34
54
51
46
58
51
43
51
51
50
39
40
50
51
53
48
50
63
40
40
52
42
37
49
38
40
37
39
44
36
44
58
39
51
50
39
48
35
41
42
50
44
40
43
52
32
38
50
40
46
44
48
34
33
27
43
46
47
28
34
29
37
48
48
38
47
50
40
47
37
27
36
32
33
45
36
33
29
37
39
30
30
34
35
32
37
36
34
44
31
21
20
43
34
32
33
37
38
28
39
26
41
36
25
31
30
27
30
26
30
33
30
28
33
30
36
34
30
26
26
27
24
34
30
31
24
33
22
17
27
23
31
32
25
31
31
19
29
19
26
20
26
30
18
25
17
20
29
27
17
19
25
26
31
24
21
18
25
24
18
20
16
21
27
15
16
25
15
20
18
17
24
14
19
12
17
19
14
9
19
21
17
11
22
15
19
13
13
18
21
25
11
19
15
21
23
11
11
19
16
8
9
21
15
14
14
14
12
13
18
13
11
16
18
13
13
13
11
16
17
13
16
14
16
10
23
12
10
8
10
6
11
13
17
9
11
16
8
8
12
8
10
12
10
10
6
9
6
11
7
7
5
14
11
7
8
7
9
12
5
9
9
11
11
5
4
7
7
5
14
4
5
7
4
6
6
9
7
6
7
2
7
4
5
7
6
6
4
5
10
5
5
4
4
5
8
3
3
2
7
4
4
3
10
6
4
5
5
2
1
1
6
4
3
5
3
2
4
2
3
0
2
3
3
5
1
2
0
2
6
2
3
3
4
2
6
1
3
3
3
4
0
1
2
3
4
1
1
4
1
1
1
0
1
1
1
1
1
1
0
1
2
2
2
2
0
0
0
0
2
1
0
0
0
0
0
1
0
0
2
0
0
0
0
0
2
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
