beta_nMTCD
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
1
0
2
1
0
1
2
2
1
1
0
0
1
3
1
2
2
2
2
2
1
1
3
2
2
0
2
2
2
3
0
0
1
1
1
2
3
2
1
1
5
1
3
1
4
0
3
3
3
3
4
3
2
4
4
7
4
3
2
1
4
2
4
8
1
2
6
1
4
5
2
3
4
2
7
5
4
4
4
2
7
3
1
9
4
9
4
6
6
2
5
3
7
8
7
8
9
6
6
4
6
9
8
5
3
8
8
5
12
4
9
8
7
3
8
3
7
10
8
10
10
2
10
10
10
11
10
8
5
8
6
5
14
8
13
12
14
12
7
7
12
6
8
12
6
13
12
12
5
6
8
16
12
16
11
11
10
7
10
11
16
8
8
12
6
19
10
12
13
14
11
16
14
16
13
14
17
8
12
9
12
11
12
8
7
14
7
15
16
12
12
14
11
11
15
10
17
18
16
14
13
12
12
17
18
13
18
20
16
17
18
13
22
15
18
16
18
20
12
8
18
16
17
18
19
13
20
14
22
13
17
16
14
18
16
13
16
19
24
17
10
13
22
21
15
11
21
18
22
21
16
15
21
12
15
12
14
21
15
21
22
24
14
22
30
24
13
19
19
16
25
12
13
25
20
15
19
15
19
18
18
18
19
21
16
17
18
17
12
17
20
22
27
18
22
23
23
20
19
20
24
27
15
10
25
22
18
12
20
18
14
15
20
19
12
19
18
19
19
24
17
28
28
25
16
18
28
21
24
16
17
22
13
23
15
15
13
24
22
16
27
27
19
17
20
19
17
22
23
20
20
16
16
23
24
33
19
13
20
12
21
24
22
17
16
23
19
16
29
14
20
20
17
22
22
22
15
22
24
20
23
28
17
28
28
24
18
18
15
19
17
25
20
16
24
22
18
18
26
19
22
22
23
14
22
15
19
18
21
14
21
18
19
17
25
23
21
20
29
18
19
22
24
17
16
15
24
17
28
15
23
20
21
21
23
16
23
12
17
19
20
27
21
20
16
21
26
15
22
19
20
23
14
20
24
25
19
18
11
16
19
29
21
21
20
17
31
16
15
20
11
17
21
22
20
17
22
24
15
25
19
19
21
21
22
17
16
28
16
18
17
16
11
23
23
20
17
18
13
21
16
25
31
14
12
20
24
16
17
13
20
19
18
11
11
20
14
18
21
21
19
17
14
18
8
16
16
14
30
14
12
20
13
15
18
12
27
21
18
17
18
27
15
13
16
11
9
19
10
11
9
20
13
7
11
16
17
20
18
11
13
12
15
15
16
19
20
16
14
8
17
19
8
21
10
19
11
14
5
14
14
16
8
15
12
15
19
19
14
19
16
13
17
13
7
15
15
14
10
6
10
9
11
14
13
10
10
9
12
16
11
9
14
13
4
6
14
7
11
7
10
13
8
18
8
13
10
5
12
10
9
13
6
8
12
7
11
9
8
11
12
8
10
6
11
10
10
10
11
4
11
7
5
9
4
17
14
7
7
8
8
7
8
7
8
9
11
4
6
5
9
8
9
7
8
9
5
7
8
8
7
7
4
8
9
6
8
5
3
7
8
5
5
7
5
10
6
7
4
9
8
5
3
5
6
8
1
8
4
4
1
4
9
7
7
3
8
6
6
7
3
1
12
5
3
1
8
5
8
6
6
2
5
9
5
3
6
8
5
3
6
3
6
8
3
4
2
6
5
6
4
4
2
0
1
3
4
6
5
4
6
2
2
5
2
5
1
1
4
1
4
0
8
2
2
3
3
5
3
5
2
2
5
2
3
4
3
3
2
0
2
2
2
3
1
1
4
3
1
1
1
4
3
3
2
2
0
2
4
0
1
2
2
5
2
1
1
2
2
2
3
0
1
3
2
0
1
2
2
1
1
2
1
0
1
0
3
0
1
0
0
2
0
1
0
0
0
2
1
0
1
0
0
0
2
1
2
1
1
2
0
1
1
0
1
0
0
0
1
0
1
0
1
0
0
0
0
1
1
0
0
1
0
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
