initate MTCD,emtpyPre,collidePre,successPre,grant fail
51,22,13,17,2
49,15,8,24,7
62,19,17,14,4
44,25,12,17,0
59,16,15,18,5
71,13,20,14,7
64,18,20,12,4
61,19,18,16,1
61,19,18,14,3
53,19,14,16,5
57,18,17,13,6
45,20,11,18,5
65,10,17,15,12
51,19,12,20,3
45,24,12,17,1
50,19,12,19,4
47,23,12,17,2
53,18,15,15,6
50,22,13,16,3
53,20,16,14,4
57,19,18,14,3
66,14,15,17,8
69,14,21,14,5
54,22,17,15,0
69,17,20,13,4
59,19,19,12,4
51,20,12,18,4
43,25,10,19,0
74,12,20,15,7
44,25,11,18,0
56,21,18,14,1
56,17,15,18,4
59,17,18,17,2
82,11,27,11,5
55,18,15,17,4
52,16,13,18,7
54,20,12,20,2
66,13,19,17,5
70,17,20,12,5
63,15,19,14,6
62,19,18,15,2
38,27,9,18,0
53,21,14,17,2
43,26,11,17,0
53,17,13,18,6
50,24,13,17,0
55,23,16,14,1
44,22,7,23,2
61,20,17,13,4
54,20,14,17,3
59,19,18,14,3
54,21,14,16,3
55,20,16,14,4
60,14,12,20,8
52,21,14,15,4
66,18,18,16,2
55,17,12,23,2
50,22,15,16,1
56,19,16,16,3
45,26,11,17,0
60,19,19,14,2
61,20,18,13,3
46,20,11,20,3
49,20,13,18,3
73,14,23,12,5
58,21,17,14,2
72,14,22,13,5
80,12,24,13,5
69,14,20,13,7
48,21,12,19,2
45,24,11,18,1
74,15,20,13,6
71,15,19,14,6
60,17,18,18,1
39,26,8,20,0
60,15,17,15,7
53,21,14,16,3
51,22,15,17,0
52,18,15,19,2
54,22,16,14,2
45,22,10,21,1
61,18,18,14,4
71,13,24,9,8
52,21,16,14,3
55,20,14,17,3
67,16,20,16,2
52,17,11,19,7
54,22,17,14,1
61,17,16,13,8
60,18,20,11,5
49,20,13,20,1
63,16,16,17,5
66,22,22,10,0
44,24,11,18,1
61,17,15,17,5
60,17,14,17,6
58,19,17,16,2
44,22,10,20,2
54,14,13,20,7
41,22,6,24,2
