initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
5,49,0,5,0,0,1,5
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
1,53,0,1,0,0,1,1
4,50,0,4,0,0,1,4
4,50,0,4,0,0,1,4
3,51,0,3,0,0,1,3
6,49,1,4,0,0.0185185,1,6
1,53,0,1,0,0,1,1
5,49,0,5,0,0,1,5
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
8,48,1,5,0,0.0185185,1,8
5,49,0,5,0,0,1,5
10,45,1,8,0,0.0185185,1,10
9,46,1,7,0,0.0185185,1,9
9,46,1,7,0,0.0185185,1,9
5,49,0,5,0,0,1,5
10,44,0,10,0,0,1,10
11,44,1,9,0,0.0185185,1,11
6,49,1,4,0,0.0185185,1,6
9,45,0,9,0,0,1,9
9,46,1,7,0,0.0185185,1,9
7,47,0,7,0,0,1,7
8,47,1,6,0,0.0185185,1,8
15,40,1,13,0,0.0185185,1,15
11,43,0,11,0,0,1,11
20,38,4,12,0,0.0740741,1,20
7,47,0,7,0,0,1,7
14,41,1,12,0,0.0185185,1,14
12,43,1,10,0,0.0185185,1,12
12,42,0,12,0,0,1,12
11,47,4,3,0,0.0740741,1,11
18,37,1,16,0,0.0185185,1,18
13,42,1,11,0,0.0185185,1,13
13,43,2,9,0,0.037037,1,13
11,44,1,9,0,0.0185185,1,11
15,41,2,11,0,0.037037,1,15
17,41,3,10,0,0.0555556,1,17
10,44,0,10,0,0,1,10
13,43,2,9,0,0.037037,1,13
18,39,1,14,0,0.0185185,1,18
13,43,2,9,0,0.037037,1,13
16,41,3,10,0,0.0555556,1,16
22,36,3,15,0,0.0555556,1,22
12,42,0,12,0,0,1,12
21,36,3,15,0,0.0555556,1,21
21,36,3,15,0,0.0555556,1,21
24,33,3,18,0,0.0555556,1,24
24,36,6,12,0,0.111111,1,24
20,37,3,14,0,0.0555556,1,20
21,35,2,17,0,0.037037,1,21
25,34,5,15,0,0.0925926,1,25
21,34,1,19,0,0.0185185,1,21
24,37,4,13,0,0.0740741,1,24
26,34,5,15,0,0.0925926,1,26
27,34,5,15,0,0.0925926,1,27
24,37,6,11,0,0.111111,1,24
30,29,5,20,0,0.0925926,1,30
27,33,6,15,0,0.111111,1,27
36,28,8,18,0,0.148148,1,36
31,30,3,21,0,0.0555556,1,31
40,24,9,21,0,0.166667,1,40
45,26,12,16,0,0.222222,1,45
37,25,7,22,0,0.12963,1,37
30,32,6,16,0,0.111111,1,30
37,26,8,20,0,0.148148,1,37
30,34,8,12,0,0.148148,1,30
43,20,8,22,4,0.148148,1,43
32,31,7,16,0,0.12963,1,32
30,31,7,16,0,0.12963,1,30
35,27,8,19,0,0.148148,1,35
47,23,10,21,0,0.185185,1,47
32,32,9,13,0,0.166667,1,32
38,28,8,18,0,0.148148,1,38
39,27,11,16,0,0.203704,1,39
39,23,6,24,1,0.111111,1,39
46,23,10,20,1,0.185185,1,46
41,25,10,19,0,0.185185,1,41
32,27,4,23,0,0.0740741,1,32
43,27,14,13,0,0.259259,1,43
36,29,8,17,0,0.148148,1,36
40,23,8,22,1,0.148148,1,40
37,26,5,23,0,0.0925926,1,37
48,25,13,16,0,0.240741,1,48
38,27,7,20,0,0.12963,1,38
42,27,12,15,0,0.222222,1,42
43,25,9,20,0,0.166667,1,43
46,19,11,22,2,0.203704,1,46
57,17,14,19,4,0.259259,1,57
54,24,17,13,0,0.314815,1,54
47,23,11,19,1,0.203704,1,47
54,21,14,17,2,0.259259,1,54
46,24,10,20,0,0.185185,0.993421,47
65,16,18,16,4,0.333333,0.993421,65
36,30,9,15,0,0.166667,0.993421,38
50,23,12,18,1,0.222222,0.993421,50
64,18,18,15,3,0.333333,0.993421,65
55,17,13,21,3,0.240741,0.993421,55
50,21,11,20,2,0.203704,0.993421,50
52,23,14,17,0,0.259259,0.993421,52
62,18,21,14,1,0.388889,0.95542,66
61,18,16,18,2,0.296296,0.95542,63
73,17,21,11,5,0.388889,0.95542,75
65,16,16,14,8,0.296296,0.95542,69
68,15,17,17,5,0.314815,0.95542,71
75,14,23,14,3,0.425926,0.95542,78
48,24,10,20,0,0.185185,0.95542,49
71,11,20,15,8,0.37037,0.95542,72
46,25,13,16,0,0.240741,0.797601,55
56,24,15,15,0,0.277778,0.797601,69
52,24,18,12,0,0.333333,0.797601,66
47,21,13,18,2,0.240741,0.797601,65
49,16,9,21,8,0.166667,0.797601,64
59,18,15,18,3,0.277778,0.797601,74
51,21,11,20,2,0.203704,0.797601,63
64,17,18,15,4,0.333333,0.797601,76
52,20,14,17,3,0.259259,0.819316,68
47,26,15,13,0,0.277778,0.819316,60
53,20,15,18,1,0.277778,0.819316,74
67,18,19,16,1,0.351852,0.819316,81
58,18,16,17,3,0.296296,0.819316,78
65,18,16,15,5,0.296296,0.819316,73
73,12,24,9,9,0.444444,0.819316,90
59,19,16,16,3,0.296296,0.819316,75
66,17,20,14,3,0.37037,0.730318,88
63,18,19,12,5,0.351852,0.730318,82
58,20,16,15,3,0.296296,0.730318,81
80,12,24,11,7,0.444444,0.730318,110
58,20,16,15,3,0.296296,0.730318,75
49,23,12,19,0,0.222222,0.730318,76
54,16,11,21,6,0.203704,0.730318,80
66,14,17,19,4,0.314815,0.730318,89
51,17,13,17,7,0.240741,0.642752,79
54,20,13,19,2,0.240741,0.642752,97
42,24,10,20,0,0.185185,0.642752,75
65,14,15,18,7,0.277778,0.642752,93
59,18,16,19,1,0.296296,0.642752,85
63,14,16,18,6,0.296296,0.642752,103
57,21,16,15,2,0.296296,0.642752,91
53,21,13,18,2,0.240741,0.642752,83
64,18,17,14,5,0.314815,0.618058,93
54,15,13,19,7,0.240741,0.618058,83
58,17,16,16,5,0.296296,0.618058,104
64,11,15,22,6,0.277778,0.618058,104
66,13,16,21,4,0.296296,0.618058,120
68,17,18,15,4,0.333333,0.618058,98
61,18,15,16,5,0.277778,0.618058,79
67,14,16,17,7,0.296296,0.618058,107
65,14,20,14,6,0.37037,0.557368,112
61,16,16,17,5,0.296296,0.557368,110
50,20,10,21,3,0.185185,0.557368,101
64,16,21,14,3,0.388889,0.557368,124
49,19,11,19,5,0.203704,0.557368,119
59,17,16,16,5,0.296296,0.557368,108
68,17,20,13,4,0.37037,0.557368,134
77,13,22,13,6,0.407407,0.557368,132
53,20,15,17,2,0.277778,0.463631,99
46,24,12,18,0,0.222222,0.463631,119
69,8,16,18,12,0.296296,0.463631,135
61,17,14,19,4,0.259259,0.463631,124
61,19,17,14,4,0.314815,0.463631,119
63,19,19,15,1,0.351852,0.463631,131
65,20,19,14,1,0.351852,0.463631,139
60,18,18,13,5,0.333333,0.463631,141
63,15,14,19,6,0.259259,0.434023,129
46,25,9,20,0,0.166667,0.434023,104
64,14,15,20,5,0.277778,0.434023,128
61,20,16,15,3,0.296296,0.434023,132
58,14,14,19,7,0.259259,0.434023,136
65,17,17,17,3,0.314815,0.434023,147
52,21,15,16,2,0.277778,0.434023,140
57,23,18,12,1,0.333333,0.434023,128
70,13,17,17,7,0.314815,0.4176,157
72,11,20,15,8,0.37037,0.4176,164
59,16,15,21,2,0.277778,0.4176,121
61,17,18,17,2,0.333333,0.4176,145
50,22,14,16,2,0.259259,0.4176,127
49,22,13,18,1,0.240741,0.4176,154
51,17,9,24,4,0.166667,0.4176,122
79,13,25,10,6,0.462963,0.4176,174
56,21,18,14,1,0.333333,0.377591,129
58,16,15,18,5,0.277778,0.377591,150
67,15,20,15,4,0.37037,0.377591,158
54,19,14,18,3,0.259259,0.377591,142
64,16,19,14,5,0.351852,0.377591,152
66,18,15,17,4,0.277778,0.377591,182
62,16,16,17,5,0.296296,0.377591,156
63,17,17,18,2,0.314815,0.377591,173
62,14,17,17,6,0.314815,0.351365,163
78,17,26,10,1,0.481481,0.351365,173
56,17,13,19,5,0.240741,0.351365,154
52,20,16,17,1,0.296296,0.351365,158
