initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
29,33,6,15,0,0.111111
25,37,7,10,0,0.12963
32,32,9,13,0,0.166667
28,34,7,13,0,0.12963
41,25,10,19,0,0.185185
30,29,5,20,0,0.0925926
40,24,7,23,0,0.12963
26,31,3,20,0,0.0555556
35,33,10,11,0,0.185185
26,32,3,19,0,0.0555556
36,24,5,25,0,0.0925926
15,45,4,5,0,0.0740741
29,34,6,14,0,0.111111
26,34,5,15,0,0.0925926
32,31,8,15,0,0.148148
29,29,4,21,0,0.0740741
36,28,9,17,0,0.166667
21,36,3,15,0,0.0555556
39,25,7,22,0,0.12963
20,36,2,16,0,0.037037
39,25,9,20,0,0.166667
17,41,4,9,0,0.0740741
36,30,9,15,0,0.166667
24,36,6,12,0,0.111111
35,24,5,25,0,0.0925926
30,30,5,19,0,0.0925926
26,35,5,14,0,0.0925926
24,33,3,18,0,0.0555556
27,32,5,17,0,0.0925926
25,35,5,14,0,0.0925926
34,29,9,16,0,0.166667
28,33,6,15,0,0.111111
28,30,3,21,0,0.0555556
26,30,2,22,0,0.037037
29,32,6,16,0,0.111111
25,34,5,15,0,0.0925926
28,32,5,17,0,0.0925926
21,36,2,16,0,0.037037
32,29,5,20,0,0.0925926
23,36,5,13,0,0.0925926
34,32,7,15,0,0.12963
31,28,5,21,0,0.0925926
35,27,7,20,0,0.12963
25,33,4,17,0,0.0740741
36,30,9,15,0,0.166667
20,40,4,10,0,0.0740741
36,26,8,20,0,0.148148
22,36,3,15,0,0.0555556
30,31,6,17,0,0.111111
28,33,6,15,0,0.111111
28,32,5,17,0,0.0925926
34,26,5,23,0,0.0925926
33,29,6,19,0,0.111111
35,29,10,15,0,0.185185
28,37,8,9,0,0.148148
42,23,8,23,0,0.148148
49,23,11,20,0,0.203704
43,26,14,14,0,0.259259
42,30,11,13,0,0.203704
48,21,10,23,0,0.185185
48,19,11,24,0,0.203704
41,27,12,15,0,0.222222
49,22,9,23,0,0.166667
38,26,9,19,0,0.166667
39,27,11,16,0,0.203704
44,25,9,20,0,0.166667
43,20,7,27,0,0.12963
39,31,14,9,0,0.259259
35,26,4,24,0,0.0740741
45,21,9,24,0,0.166667
30,28,4,22,0,0.0740741
39,30,12,12,0,0.222222
25,34,4,16,0,0.0740741
45,25,12,17,0,0.222222
28,33,6,15,0,0.111111
49,19,11,24,0,0.203704
29,32,7,15,0,0.12963
42,24,9,21,0,0.166667
32,31,9,14,0,0.166667
38,24,6,24,0,0.111111
30,32,7,15,0,0.12963
31,30,6,18,0,0.111111
35,30,7,17,0,0.12963
35,25,5,24,0,0.0925926
45,24,9,21,0,0.166667
29,31,5,18,0,0.0925926
46,24,12,18,0,0.222222
34,29,8,17,0,0.148148
51,24,13,17,0,0.240741
37,24,6,24,0,0.111111
53,23,17,14,0,0.314815
33,29,8,17,0,0.148148
63,18,18,18,0,0.333333
43,25,9,20,0,0.166667
60,20,18,16,0,0.333333
33,29,8,17,0,0.148148
69,18,21,15,0,0.388889
38,23,6,25,0,0.111111
72,8,19,27,0,0.351852
25,34,4,16,0,0.0740741
65,16,20,18,0,0.37037
27,34,6,14,0,0.111111
61,18,15,21,0,0.277778
28,34,6,14,0,0.111111
60,17,15,22,0,0.277778
33,28,5,21,0,0.0925926
50,24,14,16,0,0.259259
31,30,6,18,0,0.111111
52,21,15,18,0,0.277778
32,30,5,19,0,0.0925926
52,21,17,16,0,0.314815
37,29,10,15,0,0.185185
52,22,16,16,0,0.296296
50,21,13,20,0,0.240741
64,13,16,25,0,0.296296
55,22,14,18,0,0.259259
52,20,14,20,0,0.259259
55,20,16,18,0,0.296296
60,21,19,14,0,0.351852
58,17,17,20,0,0.314815
69,11,22,21,0,0.407407
54,20,16,18,0,0.296296
65,14,20,20,0,0.37037
58,18,15,21,0,0.277778
58,21,18,15,0,0.333333
60,20,17,17,0,0.314815
58,19,15,20,0,0.277778
58,13,13,28,0,0.240741
49,21,14,19,0,0.259259
53,18,14,22,0,0.259259
52,21,16,17,0,0.296296
47,24,11,19,0,0.203704
61,20,17,17,0,0.314815
54,20,15,19,0,0.277778
63,19,19,16,0,0.351852
52,24,13,17,0,0.240741
67,18,21,15,0,0.388889
54,22,15,17,0,0.277778
69,15,23,16,0,0.425926
59,14,15,25,0,0.277778
75,14,20,20,0,0.37037
54,20,12,22,0,0.222222
74,7,25,22,0,0.462963
47,18,8,28,0,0.148148
68,18,19,17,0,0.351852
42,26,12,16,0,0.222222
75,10,23,21,0,0.425926
59,19,18,17,0,0.333333
72,15,24,15,0,0.444444
55,20,15,19,0,0.277778
77,13,21,20,0,0.388889
48,24,12,18,0,0.222222
76,13,21,20,0,0.388889
54,19,12,23,0,0.222222
77,13,25,16,0,0.462963
48,21,12,21,0,0.222222
77,15,23,16,0,0.425926
49,21,11,22,0,0.203704
79,12,25,17,0,0.462963
43,21,9,24,0,0.166667
90,13,31,10,0,0.574074
33,31,6,17,0,0.111111
98,9,33,12,0,0.611111
36,28,8,18,0,0.148148
100,5,33,16,0,0.611111
40,25,8,21,0,0.148148
104,5,32,17,0,0.592593
41,24,9,21,0,0.166667
101,12,31,11,0,0.574074
42,21,7,26,0,0.12963
112,4,37,13,0,0.685185
36,29,9,16,0,0.166667
119,5,30,19,0,0.555556
48,19,9,26,0,0.166667
115,6,38,10,0,0.703704
50,21,14,19,0,0.259259
129,5,41,8,0,0.759259
55,20,15,19,0,0.277778
134,4,40,10,0,0.740741
54,18,12,24,0,0.222222
133,5,40,9,0,0.740741
49,21,13,20,0,0.240741
134,2,41,11,0,0.759259
54,19,14,21,0,0.259259
136,2,39,13,0,0.722222
48,21,12,21,0,0.222222
141,2,42,10,0,0.777778
49,26,14,14,0,0.259259
143,3,40,11,0,0.740741
53,19,13,22,0,0.240741
146,1,39,14,0,0.722222
50,17,11,26,0,0.203704
143,3,47,4,0,0.87037
46,25,14,15,0,0.259259
153,3,42,9,0,0.777778
45,22,12,20,0,0.222222
158,2,44,8,0,0.814815
40,23,8,23,0,0.148148
160,4,42,8,0,0.777778
35,27,8,19,0,0.148148
163,2,43,9,0,0.796296
30,34,7,13,0,0.12963
169,5,46,3,0,0.851852
35,30,7,17,0,0.12963
174,3,46,5,0,0.851852
35,30,8,16,0,0.148148
181,1,45,8,0,0.833333
42,23,9,22,0,0.166667
183,2,50,2,0,0.925926
39,22,6,26,0,0.111111
193,1,53,0,0,0.981481
31,27,4,23,0,0.0740741
194,0,48,6,0,0.888889
30,28,4,22,0,0.0740741
198,0,53,1,0,0.981481
25,36,5,13,0,0.0925926
198,0,45,9,0,0.833333
27,31,4,19,0,0.0740741
200,2,48,4,0,0.888889
25,35,4,15,0,0.0740741
207,1,50,3,0,0.925926
25,35,5,14,0,0.0925926
208,1,48,5,0,0.888889
31,33,7,14,0,0.12963
208,1,50,3,0,0.925926
38,24,7,23,0,0.12963
209,1,50,3,0,0.925926
31,30,5,19,0,0.0925926
211,0,48,6,0,0.888889
24,37,6,11,0,0.111111
201,0,50,4,0,0.925926
32,29,6,19,0,0.111111
200,3,50,1,0,0.925926
40,27,10,17,0,0.185185
200,0,48,6,0,0.888889
43,26,11,17,0,0.203704
200,2,48,4,0,0.888889
47,23,11,20,0,0.203704
199,1,50,3,0,0.925926
42,25,10,19,0,0.185185
196,2,47,5,0,0.87037
42,22,9,23,0,0.166667
192,2,49,3,0,0.907407
42,24,9,21,0,0.166667
183,1,45,8,0,0.833333
41,26,10,18,0,0.185185
179,3,43,8,0,0.796296
48,23,15,16,0,0.277778
170,0,41,13,0,0.759259
50,24,15,15,0,0.277778
155,2,41,11,0,0.759259
51,23,14,17,0,0.259259
150,4,39,11,0,0.722222
62,17,19,18,0,0.351852
146,5,40,9,0,0.740741
65,19,19,16,0,0.351852
149,2,41,11,0,0.759259
66,15,18,21,0,0.333333
157,3,43,8,0,0.796296
61,15,17,22,0,0.314815
153,1,43,10,0,0.796296
59,19,19,16,0,0.351852
146,2,43,9,0,0.796296
59,17,15,22,0,0.277778
148,2,39,13,0,0.722222
58,21,16,17,0,0.296296
143,4,43,7,0,0.796296
58,18,12,24,0,0.222222
148,1,45,8,0,0.833333
58,19,17,18,0,0.314815
151,2,45,7,0,0.833333
65,16,21,17,0,0.388889
153,2,45,7,0,0.833333
67,20,21,13,0,0.388889
154,4,41,9,0,0.759259
74,13,23,18,0,0.425926
157,3,41,10,0,0.759259
71,13,19,22,0,0.351852
148,6,42,6,0,0.777778
77,15,22,17,0,0.407407
151,5,42,7,0,0.777778
78,12,25,17,0,0.462963
153,3,40,11,0,0.740741
77,13,26,15,0,0.481481
142,5,40,9,0,0.740741
85,11,25,18,0,0.462963
139,3,39,12,0,0.722222
86,9,24,21,0,0.444444
127,0,35,19,0,0.648148
82,10,27,17,0,0.5
112,9,37,8,0,0.685185
83,13,25,16,0,0.462963
113,7,34,13,0,0.62963
90,11,26,17,0,0.481481
123,3,41,10,0,0.759259
86,12,28,14,0,0.518519
117,5,37,12,0,0.685185
90,9,27,18,0,0.5
124,5,35,14,0,0.648148
84,17,20,17,0,0.37037
125,3,38,13,0,0.703704
80,11,22,21,0,0.407407
126,3,39,12,0,0.722222
77,14,20,20,0,0.37037
128,6,36,12,0,0.666667
64,17,20,17,0,0.37037
118,6,35,13,0,0.648148
67,15,17,22,0,0.314815
114,2,32,20,0,0.592593
62,18,18,18,0,0.333333
109,7,36,11,0,0.666667
62,19,15,20,0,0.277778
111,6,34,14,0,0.62963
57,19,15,20,0,0.277778
104,8,32,14,0,0.592593
54,23,16,15,0,0.296296
95,9,31,14,0,0.574074
55,18,15,21,0,0.277778
89,11,26,17,0,0.481481
48,21,11,22,0,0.203704
98,7,29,18,0,0.537037
40,23,9,22,0,0.166667
85,10,29,15,0,0.537037
37,27,8,19,0,0.148148
78,12,25,17,0,0.462963
33,31,8,15,0,0.148148
77,11,23,20,0,0.425926
30,33,8,13,0,0.148148
82,14,24,16,0,0.444444
38,28,12,14,0,0.222222
80,11,22,21,0,0.407407
41,24,9,21,0,0.166667
73,12,21,21,0,0.388889
46,24,10,20,0,0.185185
63,15,17,22,0,0.314815
38,26,9,19,0,0.166667
55,19,15,20,0,0.277778
30,31,5,18,0,0.0925926
44,26,12,16,0,0.222222
31,31,7,16,0,0.12963
37,25,8,21,0,0.148148
26,32,3,19,0,0.0555556
24,34,4,16,0,0.0740741
27,33,5,16,0,0.0925926
21,37,4,13,0,0.0740741
18,38,2,14,0,0.037037
19,38,3,13,0,0.0555556
20,37,3,14,0,0.0555556
23,35,4,15,0,0.0740741
26,33,5,16,0,0.0925926
25,33,3,18,0,0.0555556
21,39,3,12,0,0.0555556
20,36,2,16,0,0.037037
21,35,2,17,0,0.037037
19,36,1,17,0,0.0185185
19,37,2,15,0,0.037037
18,37,1,16,0,0.0185185
23,34,3,17,0,0.0555556
22,36,3,15,0,0.0555556
22,37,3,14,0,0.0555556
21,38,5,11,0,0.0925926
16,42,3,9,0,0.0555556
27,34,7,13,0,0.12963
26,34,6,14,0,0.111111
22,39,6,9,0,0.111111
33,31,8,15,0,0.148148
23,35,3,16,0,0.0555556
37,23,6,25,0,0.111111
18,39,1,14,0,0.0185185
26,36,6,12,0,0.111111
9,45,0,9,0,0
28,30,4,20,0,0.0740741
14,43,3,8,0,0.0555556
24,35,5,14,0,0.0925926
14,41,1,12,0,0.0185185
25,33,4,17,0,0.0740741
14,42,2,10,0,0.037037
23,33,2,19,0,0.037037
23,38,6,10,0,0.111111
23,33,2,19,0,0.037037
27,34,6,14,0,0.111111
23,35,3,16,0,0.0555556
29,30,5,19,0,0.0925926
20,39,4,11,0,0.0740741
27,32,5,17,0,0.0925926
22,34,2,18,0,0.037037
17,39,2,13,0,0.037037
19,36,1,17,0,0.0185185
19,39,3,12,0,0.0555556
16,40,2,12,0,0.037037
17,38,1,15,0,0.0185185
10,45,1,8,0,0.0185185
12,43,1,10,0,0.0185185
11,45,2,7,0,0.037037
13,42,1,11,0,0.0185185
18,39,3,12,0,0.0555556
15,40,1,13,0,0.0185185
16,39,1,14,0,0.0185185
12,45,3,6,0,0.0555556
11,45,1,8,0,0.0185185
18,37,1,16,0,0.0185185
19,38,3,13,0,0.0555556
13,42,1,11,0,0.0185185
15,40,1,13,0,0.0185185
16,40,2,12,0,0.037037
15,42,3,9,0,0.0555556
8,46,0,8,0,0
12,45,2,7,0,0.037037
14,41,1,12,0,0.0185185
12,42,0,12,0,0
13,42,1,11,0,0.0185185
7,47,0,7,0,0
12,42,0,12,0,0
13,43,2,9,0,0.037037
8,48,2,4,0,0.037037
22,35,3,16,0,0.0555556
12,42,0,12,0,0
19,38,3,13,0,0.0555556
10,45,1,8,0,0.0185185
11,46,3,5,0,0.0555556
14,43,3,8,0,0.0555556
16,39,1,14,0,0.0185185
15,40,1,13,0,0.0185185
15,40,1,13,0,0.0185185
8,46,0,8,0,0
10,45,1,8,0,0.0185185
12,43,1,10,0,0.0185185
9,45,0,9,0,0
13,41,0,13,0,0
9,46,1,7,0,0.0185185
8,47,1,6,0,0.0185185
13,45,4,5,0,0.0740741
14,44,3,7,0,0.0555556
16,40,2,12,0,0.037037
17,39,2,13,0,0.037037
10,46,2,6,0,0.037037
15,40,1,13,0,0.0185185
14,42,2,10,0,0.037037
12,42,0,12,0,0
14,41,1,12,0,0.0185185
11,44,1,9,0,0.0185185
6,48,0,6,0,0
13,44,3,7,0,0.0555556
7,47,0,7,0,0
11,44,1,9,0,0.0185185
9,46,1,7,0,0.0185185
6,48,0,6,0,0
19,40,3,11,0,0.0555556
14,44,4,6,0,0.0740741
15,40,1,13,0,0.0185185
15,40,1,13,0,0.0185185
10,46,2,6,0,0.037037
10,46,2,6,0,0.037037
11,45,2,7,0,0.037037
12,43,1,10,0,0.0185185
11,44,1,9,0,0.0185185
10,46,2,6,0,0.037037
11,43,0,11,0,0
15,40,1,13,0,0.0185185
4,50,0,4,0,0
8,46,0,8,0,0
5,49,0,5,0,0
9,45,0,9,0,0
8,46,0,8,0,0
9,46,1,7,0,0.0185185
7,48,1,5,0,0.0185185
10,44,0,10,0,0
11,45,2,7,0,0.037037
5,49,0,5,0,0
11,43,0,11,0,0
8,47,1,6,0,0.0185185
8,46,0,8,0,0
9,46,1,7,0,0.0185185
7,49,2,3,0,0.037037
6,48,0,6,0,0
12,42,0,12,0,0
9,45,0,9,0,0
6,48,0,6,0,0
8,46,0,8,0,0
5,49,0,5,0,0
3,51,0,3,0,0
7,48,1,5,0,0.0185185
8,47,1,6,0,0.0185185
7,47,0,7,0,0
7,47,0,7,0,0
7,49,2,3,0,0.037037
5,49,0,5,0,0
14,41,1,12,0,0.0185185
6,49,1,4,0,0.0185185
9,46,1,7,0,0.0185185
6,49,1,4,0,0.0185185
11,46,2,6,0,0.037037
10,45,1,8,0,0.0185185
10,45,1,8,0,0.0185185
5,50,1,3,0,0.0185185
7,49,2,3,0,0.037037
8,46,0,8,0,0
12,42,0,12,0,0
1,53,0,1,0,0
8,49,2,3,0,0.037037
4,50,0,4,0,0
9,46,1,7,0,0.0185185
1,53,0,1,0,0
6,48,0,6,0,0
9,45,0,9,0,0
7,47,0,7,0,0
7,47,0,7,0,0
3,52,1,1,0,0.0185185
8,47,1,6,0,0.0185185
8,47,1,6,0,0.0185185
8,48,2,4,0,0.037037
9,46,1,7,0,0.0185185
7,47,0,7,0,0
3,52,1,1,0,0.0185185
12,42,0,12,0,0
7,48,1,5,0,0.0185185
3,51,0,3,0,0
3,51,0,3,0,0
8,47,1,6,0,0.0185185
5,49,0,5,0,0
10,44,0,10,0,0
6,48,0,6,0,0
6,48,0,6,0,0
2,52,0,2,0,0
5,49,0,5,0,0
9,46,1,7,0,0.0185185
5,49,0,5,0,0
5,49,0,5,0,0
6,48,0,6,0,0
8,46,0,8,0,0
5,50,1,3,0,0.0185185
3,51,0,3,0,0
8,46,0,8,0,0
3,51,0,3,0,0
6,50,1,3,0,0.0185185
8,46,0,8,0,0
6,48,0,6,0,0
4,50,0,4,0,0
2,52,0,2,0,0
6,49,1,4,0,0.0185185
5,49,0,5,0,0
8,47,1,6,0,0.0185185
4,50,0,4,0,0
6,49,1,4,0,0.0185185
2,52,0,2,0,0
2,52,0,2,0,0
1,53,0,1,0,0
3,51,0,3,0,0
4,50,0,4,0,0
6,48,0,6,0,0
5,49,0,5,0,0
4,50,0,4,0,0
6,48,0,6,0,0
2,52,0,2,0,0
2,52,0,2,0,0
5,49,0,5,0,0
2,52,0,2,0,0
5,49,0,5,0,0
1,53,0,1,0,0
1,53,0,1,0,0
4,51,1,2,0,0.0185185
1,53,0,1,0,0
6,49,1,4,0,0.0185185
0,54,0,0,0,0
10,44,0,10,0,0
2,52,0,2,0,0
2,52,0,2,0,0
3,51,0,3,0,0
3,51,0,3,0,0
5,49,0,5,0,0
3,51,0,3,0,0
5,50,1,3,0,0.0185185
2,52,0,2,0,0
4,50,0,4,0,0
5,50,1,3,0,0.0185185
2,52,0,2,0,0
5,49,0,5,0,0
4,51,1,2,0,0.0185185
3,51,0,3,0,0
5,49,0,5,0,0
2,52,0,2,0,0
0,54,0,0,0,0
2,52,0,2,0,0
2,52,0,2,0,0
2,52,0,2,0,0
3,51,0,3,0,0
1,53,0,1,0,0
1,53,0,1,0,0
4,50,0,4,0,0
3,51,0,3,0,0
1,53,0,1,0,0
1,53,0,1,0,0
1,53,0,1,0,0
4,51,1,2,0,0.0185185
3,51,0,3,0,0
5,50,1,3,0,0.0185185
2,52,0,2,0,0
4,50,0,4,0,0
0,54,0,0,0,0
2,52,0,2,0,0
4,50,0,4,0,0
0,54,0,0,0,0
1,53,0,1,0,0
2,52,0,2,0,0
2,52,0,2,0,0
5,49,0,5,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
2,52,0,2,0,0
2,52,0,2,0,0
2,52,0,2,0,0
3,51,0,3,0,0
0,54,0,0,0,0
1,53,0,1,0,0
3,51,0,3,0,0
2,52,0,2,0,0
0,54,0,0,0,0
1,53,0,1,0,0
2,52,0,2,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
2,52,0,2,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
3,51,0,3,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
2,52,0,2,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
2,52,0,2,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
2,52,0,2,0,0
1,53,0,1,0,0
2,52,0,2,0,0
1,53,0,1,0,0
1,53,0,1,0,0
2,52,0,2,0,0
0,54,0,0,0,0
1,53,0,1,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
1,53,0,1,0,0
1,53,0,1,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
0,54,0,0,0,0
