success,beta_nMTCD
0,0
2,0
2,2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,1
3,0
9,0
9,6
11,0
11,2
13,0
15,2
19,2
20,4
24,1
28,4
32,4
36,4
39,6
50,3
53,9
59,3
65,6
68,11
79,7
92,16
106,13
114,14
130,6
143,15
152,18
159,9
171,13
192,10
205,13
223,12
239,19
258,17
271,29
282,14
301,16
320,22
331,26
348,17
369,23
388,15
404,19
420,21
436,22
454,29
472,17
490,20
508,29
524,23
540,22
555,31
566,23
576,38
582,35
595,40
604,37
612,33
615,32
619,40
621,33
622,33
624,46
627,41
627,41
628,52
629,44
630,52
630,38
630,51
631,56
631,57
631,51
631,52
631,43
631,56
631,47
631,45
631,52
631,65
631,48
632,65
632,52
632,47
632,68
632,60
632,62
632,60
632,61
632,61
632,59
632,72
632,56
632,62
632,76
632,73
632,82
632,89
632,79
632,84
632,69
632,91
632,60
632,73
632,95
632,80
632,74
632,82
632,92
632,88
632,101
632,94
632,103
632,110
632,78
632,102
632,85
632,98
632,91
632,108
632,98
632,106
632,94
632,113
632,107
632,100
632,116
632,119
632,113
632,96
632,116
632,107
632,118
632,113
632,115
632,139
632,122
632,110
632,119
632,139
632,118
632,126
632,126
632,139
632,115
632,147
632,130
632,121
632,143
632,126
632,147
632,145
632,156
632,143
632,128
632,140
632,156
632,143
632,138
632,163
632,150
632,146
632,180
632,164
632,149
632,144
632,171
632,166
632,147
632,164
632,180
632,176
632,181
632,142
632,166
632,168
632,168
632,202
632,165
632,169
632,192
632,209
632,170
632,179
632,168
632,194
632,173
632,204
632,164
632,195
632,208
632,205
632,173
632,204
632,189
632,206
632,206
632,190
632,193
632,193
632,186
632,204
632,206
632,194
632,210
632,203
632,206
632,222
632,206
632,217
632,181
632,214
632,207
632,214
632,208
632,235
632,201
632,185
632,225
632,231
632,248
632,229
632,185
632,248
632,237
632,240
632,222
632,218
632,227
632,238
632,220
632,263
632,243
632,244
632,237
632,230
632,230
632,220
632,231
632,226
632,233
632,258
632,244
632,227
632,269
632,255
632,249
632,254
632,249
632,237
632,250
632,237
632,252
632,265
632,239
632,259
632,245
632,267
632,271
632,273
632,251
632,234
632,244
632,260
632,250
632,255
632,262
632,249
632,287
632,265
632,285
632,298
632,244
632,287
632,265
632,267
632,271
632,278
632,243
632,258
632,268
632,308
632,270
632,267
632,260
632,290
632,302
632,255
632,256
632,277
632,269
632,279
632,306
632,280
632,256
632,305
632,290
632,274
632,272
632,272
632,280
632,290
632,300
632,302
632,295
632,261
632,297
632,283
632,306
632,297
632,264
632,297
632,305
632,286
632,288
632,281
632,297
632,272
632,275
632,280
632,295
632,342
632,306
632,255
632,297
632,302
632,271
632,281
632,272
632,309
632,284
632,308
632,321
632,322
632,318
632,318
632,280
632,297
632,332
632,300
632,266
632,305
632,314
632,313
632,333
632,323
632,283
632,310
632,286
632,312
632,277
632,299
632,326
632,306
632,320
632,326
632,329
632,307
632,283
632,306
632,346
632,289
632,290
632,268
632,310
632,301
632,287
632,275
632,305
632,319
632,290
632,292
632,289
632,282
632,292
632,288
632,326
632,309
632,334
632,327
632,301
632,328
632,304
632,299
632,295
632,299
632,316
632,323
632,288
632,312
632,327
632,328
632,309
632,331
632,314
632,277
632,291
632,339
632,302
632,328
632,282
632,328
632,305
632,307
632,298
632,324
632,296
632,317
632,347
632,298
632,329
632,319
632,317
632,288
632,328
632,306
632,333
632,334
632,303
632,319
632,308
632,305
632,310
632,329
632,311
632,292
632,312
632,301
632,323
632,295
632,308
632,340
632,309
632,294
632,295
632,308
632,296
632,300
632,285
632,304
632,332
632,306
