initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,1,1
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
3,51,0,3,0,0,1,3
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
0,54,0,0,0,0,0,0
2,52,0,2,0,0,1,2
4,50,0,4,0,0,1,4
1,53,0,1,0,0,1,1
4,50,0,4,0,0,1,4
3,51,0,3,0,0,1,3
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
5,49,0,5,0,0,1,5
3,51,0,3,0,0,1,3
2,52,0,2,0,0,1,2
3,51,0,3,0,0,1,3
4,50,0,4,0,0,1,4
5,49,0,5,0,0,1,5
3,52,1,1,0,0.0185185,1,3
3,51,0,3,0,0,1,3
3,51,0,3,0,0,1,3
6,49,1,4,0,0.0185185,1,6
5,49,0,5,0,0,1,5
6,48,0,6,0,0,1,6
6,48,0,6,0,0,1,6
5,49,0,5,0,0,1,5
3,51,0,3,0,0,1,3
4,50,0,4,0,0,1,4
3,51,0,3,0,0,1,3
8,46,0,8,0,0,1,8
1,53,0,1,0,0,1,1
2,52,0,2,0,0,1,2
6,48,0,6,0,0,1,6
2,52,0,2,0,0,1,2
2,52,0,2,0,0,1,2
8,46,0,8,0,0,1,8
5,49,0,5,0,0,1,5
6,48,0,6,0,0,1,6
6,48,0,6,0,0,1,6
3,51,0,3,0,0,1,3
12,43,1,10,0,0.0185185,1,12
8,46,0,8,0,0,1,8
8,46,0,8,0,0,1,8
9,45,0,9,0,0,1,9
7,47,0,7,0,0,1,7
6,48,0,6,0,0,1,6
11,44,1,9,0,0.0185185,1,11
6,48,0,6,0,0,1,6
7,48,1,5,0,0.0185185,1,7
12,43,1,10,0,0.0185185,1,12
11,43,0,11,0,0,1,11
10,45,1,8,0,0.0185185,1,10
12,43,1,10,0,0.0185185,1,12
10,45,1,8,0,0.0185185,1,10
14,42,2,10,0,0.037037,1,14
9,47,1,6,0,0.0185185,1,9
11,44,1,9,0,0.0185185,1,11
8,46,0,8,0,0,1,8
11,43,0,11,0,0,1,11
9,46,1,7,0,0.0185185,1,9
9,45,0,9,0,0,1,9
6,48,0,6,0,0,1,6
12,45,3,6,0,0.0555556,1,12
16,42,3,9,0,0.0555556,1,16
12,44,2,8,0,0.037037,1,12
10,45,1,8,0,0.0185185,1,10
17,38,1,15,0,0.0185185,1,17
7,48,1,5,0,0.0185185,1,7
10,46,2,6,0,0.037037,1,10
13,43,2,9,0,0.037037,1,13
11,44,1,9,0,0.0185185,1,11
9,47,2,5,0,0.037037,1,9
9,46,1,7,0,0.0185185,1,9
13,42,1,11,0,0.0185185,1,13
10,46,2,6,0,0.037037,1,10
16,38,0,16,0,0,1,16
18,37,1,16,0,0.0185185,1,18
15,40,1,13,0,0.0185185,1,15
16,39,1,14,0,0.0185185,1,16
14,42,2,10,0,0.037037,1,14
21,35,2,17,0,0.037037,1,21
15,43,2,9,0,0.037037,1,15
12,43,1,10,0,0.0185185,1,12
22,36,3,15,0,0.0555556,1,22
19,38,2,14,0,0.037037,1,19
27,34,7,13,0,0.12963,1,27
12,44,2,8,0,0.037037,1,12
17,38,1,15,0,0.0185185,1,17
19,37,2,15,0,0.037037,1,19
18,38,2,14,0,0.037037,1,18
12,44,2,8,0,0.037037,1,12
17,37,0,17,0,0,1,17
18,38,2,14,0,0.037037,1,18
19,38,3,13,0,0.0555556,1,19
19,39,3,12,0,0.0555556,1,19
23,33,2,19,0,0.037037,1,23
24,36,5,13,0,0.0925926,1,24
21,35,2,17,0,0.037037,1,21
14,41,1,12,0,0.0185185,1,14
15,41,2,11,0,0.037037,1,15
18,39,3,12,0,0.0555556,1,18
23,34,3,17,0,0.0555556,1,23
25,34,5,15,0,0.0925926,1,25
19,36,1,17,0,0.0185185,1,19
20,38,3,13,0,0.0555556,1,20
