MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
8162,9,388,403,3,401,411,411,2,27,D2D_RA
8163,2,172,186,3,184,193,193,2,6,D2D_RA
8164,10,317,331,3,329,339,339,2,28,D2D_RA
8165,14,362,387,4,371,396,396,3,42,D2D_RA
8166,2,524,539,3,537,547,547,2,5,D2D_RA
8167,8,189,203,3,201,210,210,2,24,D2D_RA
8168,4,263,267,2,275,275,275,1,10,D2D_RA
8169,8,481,481,1,490,490,490,1,22,D2D_RA
8170,8,488,499,2,497,509,509,2,22,D2D_RA
8171,13,55,59,2,64,64,64,1,37,D2D_RA
8172,1,656,656,1,664,664,664,1,3,D2D_RA
8173,16,699,699,1,705,705,705,1,47,D2D_RA
8174,11,560,560,1,569,569,569,1,31,D2D_RA
8175,6,472,482,2,480,490,490,2,16,D2D_RA
8176,3,578,578,1,585,585,585,1,8,D2D_RA
8177,10,216,216,1,224,224,224,1,28,D2D_RA
8178,12,680,690,2,688,697,697,2,36,D2D_RA
8179,10,505,505,1,514,514,514,1,29,D2D_RA
8180,15,434,448,3,442,457,457,2,43,D2D_RA
8181,16,334,376,7,346,384,384,4,47,D2D_RA
8182,2,792,792,1,800,800,800,1,4,D2D_RA
8183,4,557,561,2,569,569,569,1,12,D2D_RA
8184,12,128,128,1,136,136,136,1,35,D2D_RA
8185,15,458,458,1,467,467,467,1,45,D2D_RA
8186,8,321,321,1,330,330,330,1,23,D2D_RA
8187,3,487,491,2,500,500,500,1,8,D2D_RA
8188,8,281,281,1,290,290,290,1,23,D2D_RA
8189,10,155,171,3,161,179,179,3,28,D2D_RA
8190,13,485,489,2,499,499,499,1,37,D2D_RA
8191,13,312,312,1,321,321,321,1,37,D2D_RA
8192,4,332,336,2,346,346,346,1,10,D2D_RA
8193,7,670,674,2,682,682,682,1,19,D2D_RA
8194,2,600,600,1,608,608,608,1,5,D2D_RA
8195,8,456,456,1,464,464,464,1,24,D2D_RA
8196,3,575,579,2,587,587,587,1,9,D2D_RA
8197,13,543,571,5,554,578,578,3,39,D2D_RA
8198,15,144,162,3,152,168,168,3,45,D2D_RA
8199,16,447,451,2,460,460,460,1,46,D2D_RA
8200,15,667,667,1,674,674,674,1,43,D2D_RA
8201,12,523,523,1,533,533,533,1,36,D2D_RA
8202,14,504,504,1,512,512,512,1,41,D2D_RA
8203,5,353,368,3,362,377,377,2,15,D2D_RA
8204,3,720,720,1,728,728,728,1,7,D2D_RA
8205,5,283,283,1,290,290,290,1,14,D2D_RA
8206,15,562,562,1,571,571,571,1,43,D2D_RA
8207,9,545,584,6,554,592,592,4,26,D2D_RA
8208,2,95,99,2,104,104,104,1,5,D2D_RA
8209,14,355,355,1,365,365,365,1,42,D2D_RA
8210,2,302,306,2,315,315,315,1,4,D2D_RA
8211,6,278,291,3,289,298,298,2,17,D2D_RA
8212,15,406,410,2,421,421,421,1,44,D2D_RA
8213,15,556,560,2,569,569,569,1,43,D2D_RA
8214,16,499,513,3,507,522,522,2,46,D2D_RA
8215,6,655,659,2,665,665,665,1,18,D2D_RA
8216,2,838,842,2,848,848,848,1,4,D2D_RA
8217,7,287,291,2,299,299,299,1,20,D2D_RA
8218,3,385,401,3,395,409,409,2,9,D2D_RA
8219,9,600,600,1,609,609,609,1,26,D2D_RA
8220,10,318,322,2,331,331,331,1,29,D2D_RA
8221,8,145,163,3,152,169,169,3,24,D2D_RA
8222,9,106,106,1,112,112,112,1,25,D2D_RA
8223,2,193,193,1,200,200,200,1,4,D2D_RA
8224,5,373,377,2,385,385,385,1,13,D2D_RA
8225,7,522,546,4,530,555,555,3,19,D2D_RA
8226,6,415,419,2,431,431,431,1,18,D2D_RA
8227,10,394,394,1,402,402,402,1,29,D2D_RA
8228,10,490,520,5,499,528,528,3,30,D2D_RA
8229,13,389,403,3,401,413,413,2,39,D2D_RA
8230,14,546,546,1,556,556,556,1,40,D2D_RA
8231,12,460,464,2,472,472,472,1,36,D2D_RA
8232,16,241,241,1,249,249,249,1,48,D2D_RA
8233,9,337,337,1,346,346,346,1,26,D2D_RA
8234,15,379,379,1,386,386,386,1,44,D2D_RA
8235,8,167,171,2,177,177,177,1,24,D2D_RA
8236,4,236,250,3,248,257,257,2,12,D2D_RA
8237,11,73,73,1,80,80,80,1,32,D2D_RA
8238,5,369,369,1,380,380,380,1,13,D2D_RA
8239,1,631,650,4,641,658,658,3,1,D2D_RA
8240,6,499,499,1,508,508,508,1,16,D2D_RA
8241,10,53,57,2,64,64,64,1,28,D2D_RA
8242,3,691,691,1,697,697,697,1,7,D2D_RA
8243,14,421,425,2,433,433,433,1,41,D2D_RA
8244,13,79,83,2,88,88,88,1,38,D2D_RA
8245,15,535,539,2,546,546,546,1,44,D2D_RA
8246,1,361,361,1,370,370,370,1,2,D2D_RA
8247,12,620,642,4,632,650,650,3,36,D2D_RA
8248,15,665,665,1,672,672,672,1,45,D2D_RA
8249,8,134,138,2,144,144,144,1,24,D2D_RA
8250,8,483,483,1,492,492,492,1,22,D2D_RA
8251,10,437,441,2,453,453,453,1,28,D2D_RA
8252,9,169,169,1,176,176,176,1,25,D2D_RA
8253,6,431,435,2,443,443,443,1,17,D2D_RA
8254,8,141,145,2,152,152,152,1,24,D2D_RA
8255,12,770,770,1,776,776,776,1,36,D2D_RA
8256,13,477,481,2,489,489,489,1,39,D2D_RA
8257,15,319,347,5,330,356,356,3,45,D2D_RA
8258,3,227,227,1,233,233,233,1,8,D2D_RA
8259,9,132,136,2,144,144,144,1,26,D2D_RA
8260,15,738,738,1,744,744,744,1,44,D2D_RA
8261,13,410,410,1,420,420,420,1,39,D2D_RA
8262,16,588,592,2,600,600,600,1,46,D2D_RA
8263,13,334,338,2,347,347,347,1,38,D2D_RA
8264,7,364,368,2,377,377,377,1,19,D2D_RA
8265,13,333,352,4,346,360,360,2,38,D2D_RA
8266,9,273,273,1,281,281,281,1,25,D2D_RA
8267,8,189,193,2,202,202,202,1,22,D2D_RA
8268,2,291,291,1,301,301,301,1,5,D2D_RA
8269,1,665,665,1,672,672,672,1,1,D2D_RA
8270,13,314,314,1,322,322,322,1,39,D2D_RA
8271,12,557,561,2,570,570,570,1,36,D2D_RA
8272,1,561,561,1,568,568,568,1,2,D2D_RA
