initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
44,25,11,18,0,0.203704,0.960955,45
48,24,13,16,1,0.240741,0.960955,49
62,17,16,16,5,0.296296,0.960955,64
47,26,15,13,0,0.277778,0.960955,49
42,23,11,19,1,0.203704,0.960955,45
63,16,15,19,4,0.277778,0.960955,68
61,17,15,18,4,0.277778,0.960955,62
46,24,11,19,0,0.203704,0.938604,50
49,22,16,15,1,0.296296,0.938604,51
56,22,15,16,1,0.277778,0.938604,60
66,21,19,13,1,0.351852,0.938604,68
61,15,16,18,5,0.296296,0.938604,64
53,20,14,17,3,0.259259,0.938604,57
62,15,15,16,8,0.277778,0.938604,69
65,14,19,16,5,0.351852,0.938604,71
50,24,12,17,1,0.222222,0.878551,56
39,22,5,25,2,0.0925926,0.878551,42
51,23,14,17,0,0.259259,0.878551,57
58,15,18,17,4,0.333333,0.878551,63
61,13,17,18,6,0.314815,0.878551,63
59,17,10,21,6,0.185185,0.878551,67
67,20,19,14,1,0.351852,0.878551,72
52,22,13,18,1,0.240741,0.878551,57
69,17,17,16,4,0.314815,0.89116,76
83,13,26,12,3,0.481481,0.89116,89
53,25,18,11,0,0.333333,0.89116,63
55,23,19,11,1,0.351852,0.89116,60
53,19,12,20,3,0.222222,0.89116,59
70,14,25,12,3,0.462963,0.89116,83
57,18,17,14,5,0.314815,0.89116,62
72,15,21,14,4,0.388889,0.89116,79
50,24,12,18,0,0.222222,0.774347,67
64,18,20,13,3,0.37037,0.774347,80
55,16,14,18,6,0.259259,0.774347,69
57,17,14,17,6,0.259259,0.774347,72
55,15,13,19,7,0.240741,0.774347,76
54,24,14,16,0,0.259259,0.774347,73
63,15,20,11,8,0.37037,0.774347,81
60,17,19,15,3,0.351852,0.774347,82
58,18,14,17,5,0.259259,0.723629,80
59,17,16,15,6,0.296296,0.723629,82
57,18,16,17,3,0.296296,0.723629,76
51,22,15,14,3,0.277778,0.723629,67
44,27,12,15,0,0.222222,0.723629,63
76,12,22,15,5,0.407407,0.723629,97
56,14,12,22,6,0.222222,0.723629,78
50,22,16,13,3,0.296296,0.723629,69
60,16,13,19,6,0.240741,0.717349,83
52,18,14,17,5,0.259259,0.717349,66
62,18,17,16,3,0.314815,0.717349,89
52,23,15,14,2,0.277778,0.717349,73
58,19,17,15,3,0.314815,0.717349,86
72,16,20,16,2,0.37037,0.717349,93
54,19,15,16,4,0.277778,0.717349,72
80,14,22,13,5,0.407407,0.717349,107
56,20,16,16,2,0.296296,0.65981,84
57,17,15,19,3,0.277778,0.65981,84
69,12,18,14,10,0.333333,0.65981,96
55,18,14,20,2,0.259259,0.65981,88
58,16,15,17,6,0.277778,0.65981,93
52,23,15,15,1,0.277778,0.65981,89
79,13,23,10,8,0.425926,0.65981,106
60,19,16,16,3,0.296296,0.65981,90
50,19,12,19,4,0.222222,0.594834,96
59,20,18,13,3,0.333333,0.594834,88
54,20,13,17,4,0.240741,0.594834,88
73,15,17,19,3,0.314815,0.594834,111
51,21,17,13,3,0.314815,0.594834,90
47,21,11,20,2,0.203704,0.594834,86
54,21,16,16,1,0.296296,0.594834,94
49,19,11,19,5,0.203704,0.594834,83
61,18,15,19,2,0.277778,0.591155,101
60,16,16,20,2,0.296296,0.591155,102
61,18,18,16,2,0.333333,0.591155,105
81,12,24,13,5,0.444444,0.591155,137
57,17,15,18,4,0.277778,0.591155,86
52,23,15,16,0,0.277778,0.591155,94
49,21,11,19,3,0.203704,0.591155,86
51,20,14,17,3,0.259259,0.591155,88
59,22,16,15,1,0.296296,0.552054,100
65,16,19,16,3,0.351852,0.552054,119
53,18,14,18,4,0.259259,0.552054,99
52,22,13,18,1,0.240741,0.552054,99
52,20,14,17,3,0.259259,0.552054,99
72,12,21,16,5,0.388889,0.552054,122
59,21,16,14,3,0.296296,0.552054,104
54,17,13,18,6,0.240741,0.552054,98
70,14,22,12,6,0.407407,0.517877,119
63,14,17,15,8,0.314815,0.517877,113
67,18,18,14,4,0.333333,0.517877,112
72,13,19,14,8,0.351852,0.517877,130
67,14,20,16,4,0.37037,0.517877,125
59,18,18,15,3,0.333333,0.517877,118
38,26,8,20,0,0.148148,0.517877,97
71,17,22,12,3,0.407407,0.517877,114
64,17,17,15,5,0.314815,0.46865,128
59,17,16,16,5,0.296296,0.46865,115
58,17,15,18,4,0.277778,0.46865,111
65,16,18,15,5,0.333333,0.46865,138
59,20,17,14,3,0.314815,0.46865,119
59,19,16,15,4,0.296296,0.46865,120
69,15,20,14,5,0.37037,0.46865,133
61,15,16,16,7,0.296296,0.46865,125
50,22,13,16,3,0.240741,0.438878,113
46,24,10,19,1,0.185185,0.438878,117
63,15,15,17,7,0.277778,0.438878,134
70,12,15,17,10,0.277778,0.438878,141
63,15,19,14,6,0.351852,0.438878,140
40,27,8,19,0,0.148148,0.438878,119
67,15,21,13,5,0.388889,0.438878,141
55,19,13,17,5,0.240741,0.438878,134
51,20,14,16,4,0.259259,0.418855,137
43,21,6,23,4,0.111111,0.418855,96
59,15,13,17,9,0.240741,0.418855,127
56,20,16,16,2,0.296296,0.418855,125
55,19,16,17,2,0.296296,0.418855,124
57,18,16,17,3,0.296296,0.418855,145
69,15,18,14,7,0.333333,0.418855,144
56,23,18,12,1,0.333333,0.418855,133
59,16,15,17,6,0.277778,0.425346,153
60,15,15,17,7,0.277778,0.425346,171
52,21,13,18,2,0.240741,0.425346,135
65,14,16,16,8,0.296296,0.425346,136
61,17,18,15,4,0.333333,0.425346,133
71,14,18,17,5,0.333333,0.425346,177
64,18,19,14,3,0.351852,0.425346,141
63,17,19,15,3,0.351852,0.425346,154
