initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,NORA_successPre,NORA_not ULgrant
0,54,0,0,0,0,0,0
2,52,0,2,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
1,53,0,1,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
5,49,0,5,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
0,54,0,0,0,0,0,0
2,52,0,2,0,0,0,0
1,53,0,1,0,0,0,0
2,52,0,2,0,0,0,0
1,53,0,1,0,0,0,0
4,50,0,4,0,0,0,0
4,50,0,4,0,0,0,0
3,51,0,3,0,0,0,0
6,49,0,5,0,0,1,0
1,53,0,1,0,0,0,0
5,49,0,5,0,0,0,0
3,51,0,3,0,0,0,0
2,52,0,2,0,0,0,0
8,48,0,6,0,0,2,0
5,49,0,5,0,0,0,0
10,45,0,9,0,0,1,0
9,46,0,8,0,0,1,0
9,46,0,8,0,0,1,0
5,49,0,5,0,0,0,0
10,44,0,10,0,0,0,0
11,44,0,10,0,0,1,0
6,49,0,5,0,0,1,0
9,45,0,9,0,0,0,0
9,46,0,8,0,0,1,0
7,47,0,7,0,0,0,0
8,47,0,7,0,0,1,0
15,40,0,14,0,0,1,0
11,43,0,11,0,0,0,0
20,38,0,16,0,0,4,0
7,47,0,7,0,0,0,0
14,41,0,13,0,0,1,0
12,43,0,11,0,0,1,0
12,42,0,12,0,0,0,0
11,47,0,7,0,0,4,0
18,37,0,17,0,0,1,0
13,42,0,12,0,0,1,0
13,43,0,11,0,0,2,0
11,44,0,10,0,0,1,0
15,41,0,13,0,0,2,0
17,41,0,13,0,0,4,0
10,44,0,10,0,0,0,0
13,43,0,11,0,0,2,0
18,39,1,14,0,0.0185185,0,0
13,43,0,11,0,0,2,0
20,38,0,16,0,0,4,0
22,38,0,16,0,0,6,0
12,45,0,9,0,0,3,0
21,37,0,17,0,0,4,0
21,36,0,18,0,0,3,0
24,35,0,19,0,0,5,0
24,33,0,21,0,0,3,0
20,37,0,17,0,0,3,0
21,35,0,19,0,0,2,0
25,34,0,20,0,0,5,0
21,34,0,20,0,0,1,0
24,37,1,16,0,0.0185185,4,0
26,34,0,20,0,0,6,0
31,32,1,21,0,0.0185185,6,0
24,36,0,18,0,0,6,0
34,27,1,26,0,0.0185185,4,0
27,32,0,22,0,0,5,0
40,33,2,19,0,0.037037,13,0
31,28,0,26,0,0,5,0
48,21,0,30,3,0,14,1
45,19,0,30,5,0,9,1
41,22,0,30,2,0,9,0
36,26,0,28,0,0,8,0
39,27,1,26,0,0.0185185,9,0
30,32,0,22,0,0,8,0
47,17,0,30,7,0,6,4
32,28,0,26,0,0,6,0
41,25,0,29,0,0,12,0
35,29,0,25,0,0,10,0
47,20,1,29,4,0.0185185,8,2
32,32,1,21,0,0.0185185,7,0
48,23,0,30,1,0,17,0
43,21,0,30,3,0,10,0
40,26,0,28,0,0,12,0
49,23,0,30,1,0,18,0
41,24,1,29,0,0.0185185,8,0
33,29,0,25,0,0,8,0
47,20,0,30,4,0,12,1
36,28,0,26,0,0,10,0
45,24,1,29,0,0.0185185,11,0
37,26,0,28,0,0,9,0
53,19,1,29,5,0.0185185,13,2
38,24,1,29,0,0.0185185,4,0
53,19,0,30,5,0,17,1
48,23,0,30,1,0,17,0
52,21,0,30,3,0,16,3
58,18,1,29,6,0.0185185,17,2
60,19,4,26,5,0.0740741,12,0
59,19,2,29,4,0.037037,12,1
76,15,6,25,8,0.111111,11,7
65,11,0,30,13,0,19,3
105,6,7,23,18,0.12963,15,20
54,18,1,29,6,0.0185185,13,2
117,5,8,27,14,0.148148,30,14
77,12,4,27,11,0.0740741,17,4
115,8,11,25,10,0.203704,19,8
83,10,1,29,14,0.0185185,21,15
123,6,13,22,13,0.240741,20,12
99,8,6,27,13,0.111111,25,9
144,5,16,21,12,0.296296,19,15
120,5,7,27,15,0.12963,26,17
173,1,20,19,14,0.37037,21,17
138,2,15,21,16,0.277778,19,14
211,0,32,9,13,0.592593,13,15
147,6,13,24,11,0.240741,30,14
258,1,36,13,4,0.666667,17,8
148,2,15,22,15,0.277778,26,12
294,0,44,4,6,0.814815,5,6
164,4,24,9,17,0.444444,7,20
346,0,49,5,0,0.907407,9,0
212,0,29,13,12,0.537037,19,14
401,0,51,1,2,0.944444,2,1
240,0,39,10,5,0.722222,13,6
468,0,51,0,3,0.944444,0,6
284,1,39,9,5,0.722222,13,9
516,0,53,1,0,0.981481,1,0
334,0,47,6,1,0.87037,9,2
584,0,53,1,0,0.981481,2,0
391,0,49,2,3,0.907407,3,6
627,0,54,0,0,1,0,0
463,0,53,1,0,0.981481,2,0
666,0,54,0,0,1,0,0
531,0,54,0,0,1,0,0
683,0,54,0,0,1,0,0
596,0,53,0,1,0.981481,0,2
733,0,54,0,0,1,0,0
649,0,54,0,0,1,0,0
748,0,54,0,0,1,0,0
681,0,54,0,0,1,0,0
773,0,54,0,0,1,0,0
716,0,54,0,0,1,0,0
791,0,54,0,0,1,0,0
748,0,54,0,0,1,0,0
807,0,54,0,0,1,0,0
769,0,54,0,0,1,0,0
848,0,54,0,0,1,0,0
788,0,54,0,0,1,0,0
845,0,54,0,0,1,0,0
806,0,54,0,0,1,0,0
849,0,54,0,0,1,0,0
823,0,54,0,0,1,0,0
872,0,54,0,0,1,0,0
845,0,54,0,0,1,0,0
884,0,54,0,0,1,0,0
839,0,54,0,0,1,0,0
879,0,54,0,0,1,0,0
876,0,54,0,0,1,0,0
904,0,54,0,0,1,0,0
890,0,54,0,0,1,0,0
929,0,54,0,0,1,0,0
921,0,54,0,0,1,0,0
937,0,54,0,0,1,0,0
968,0,54,0,0,1,0,0
962,0,54,0,0,1,0,0
976,0,54,0,0,1,0,0
963,0,54,0,0,1,0,0
997,0,54,0,0,1,0,0
996,0,54,0,0,1,0,0
1009,0,54,0,0,1,0,0
1033,0,54,0,0,1,0,0
1032,0,54,0,0,1,0,0
1055,0,54,0,0,1,0,0
1037,0,54,0,0,1,0,0
1053,0,54,0,0,1,0,0
1074,0,54,0,0,1,0,0
1062,0,54,0,0,1,0,0
1081,0,54,0,0,1,0,0
1090,0,54,0,0,1,0,0
1108,0,54,0,0,1,0,0
1091,0,54,0,0,1,0,0
1133,0,54,0,0,1,0,0
1135,0,54,0,0,1,0,0
1123,0,54,0,0,1,0,0
1136,0,54,0,0,1,0,0
1142,0,54,0,0,1,0,0
1172,0,54,0,0,1,0,0
1144,0,54,0,0,1,0,0
1205,0,54,0,0,1,0,0
1150,0,54,0,0,1,0,0
1214,0,54,0,0,1,0,0
1164,0,54,0,0,1,0,0
1212,0,54,0,0,1,0,0
1165,0,54,0,0,1,0,0
1263,0,54,0,0,1,0,0
1181,0,54,0,0,1,0,0
1293,0,54,0,0,1,0,0
1200,0,54,0,0,1,0,0
1290,0,54,0,0,1,0,0
1214,0,54,0,0,1,0,0
1303,0,54,0,0,1,0,0
1203,0,54,0,0,1,0,0
1301,0,54,0,0,1,0,0
1222,0,54,0,0,1,0,0
1309,0,54,0,0,1,0,0
1264,0,54,0,0,1,0,0
1309,0,54,0,0,1,0,0
1308,0,54,0,0,1,0,0
1301,0,54,0,0,1,0,0
1330,0,54,0,0,1,0,0
1319,0,54,0,0,1,0,0
1321,0,54,0,0,1,0,0
1357,0,54,0,0,1,0,0
1350,0,54,0,0,1,0,0
1373,0,54,0,0,1,0,0
1374,0,54,0,0,1,0,0
1395,0,54,0,0,1,0,0
1382,0,54,0,0,1,0,0
1404,0,54,0,0,1,0,0
1399,0,54,0,0,1,0,0
1430,0,54,0,0,1,0,0
1441,0,54,0,0,1,0,0
1458,0,54,0,0,1,0,0
1434,0,54,0,0,1,0,0
1506,0,54,0,0,1,0,0
1439,0,54,0,0,1,0,0
1529,0,54,0,0,1,0,0
1433,0,54,0,0,1,0,0
1543,0,54,0,0,1,0,0
1456,0,54,0,0,1,0,0
1555,0,54,0,0,1,0,0
1475,0,54,0,0,1,0,0
