1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total_request
2,5,2,1,4,2,3,0,2,2,3,1,2,0,2,31
2,0,0,1,1,0,2,0,1,5,2,3,2,3,1,23
2,0,2,1,3,4,1,0,1,2,0,1,2,1,0,20
1,1,1,2,3,1,4,3,3,0,2,0,3,1,2,27
0,1,0,1,1,3,3,0,0,0,3,1,0,4,0,17
0,1,1,0,1,0,0,0,2,3,1,2,1,4,1,17
3,1,2,2,1,0,3,0,2,2,3,1,0,0,0,20
1,1,1,0,0,1,2,2,0,1,0,1,2,1,1,14
0,2,0,1,2,1,0,2,1,0,1,0,0,0,0,10
0,0,1,1,1,0,1,1,0,0,0,1,0,1,2,9
1,0,1,1,0,1,1,1,0,2,1,0,2,2,1,14
0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,5
0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,5
1,0,0,2,0,1,1,0,0,0,1,0,0,0,1,7
0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
