success,beta_nMTCD
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,1
2,0
3,0
3,1
4,0
4,1
6,0
7,2
7,1
8,0
10,1
12,2
13,2
14,1
14,1
14,0
15,0
18,1
19,3
21,1
23,2
25,2
27,2
29,2
30,2
31,1
34,1
36,3
38,2
38,2
40,0
40,2
42,2
47,2
47,3
47,0
48,0
49,1
50,1
52,1
55,2
57,3
58,2
59,1
62,1
63,5
68,1
69,3
73,1
73,4
76,0
79,3
82,3
85,3
87,3
90,4
94,3
96,2
100,4
109,4
113,7
116,4
118,3
119,2
123,1
125,4
129,2
137,4
138,8
140,1
144,2
145,6
151,1
156,4
156,5
159,2
165,3
167,4
174,2
179,7
183,5
187,4
191,4
193,4
198,2
201,7
204,3
211,1
215,9
224,4
228,9
234,4
240,6
244,6
249,2
252,5
259,3
267,7
272,8
280,7
287,8
293,9
303,6
307,6
313,4
322,6
330,9
335,8
338,5
346,3
351,8
356,8
367,5
371,12
380,4
388,9
399,8
402,7
410,3
413,8
420,3
428,7
434,10
446,8
456,10
458,10
470,2
480,10
488,10
497,10
509,11
517,10
522,8
532,5
535,8
540,6
555,5
561,14
572,8
582,13
598,12
612,14
621,12
628,7
638,7
644,12
654,6
664,8
668,12
683,6
693,13
702,12
709,12
718,5
726,6
737,8
749,16
764,12
773,16
786,11
798,11
807,10
817,7
832,10
848,11
856,16
864,8
868,8
874,12
896,6
905,19
918,10
928,12
942,13
957,14
973,11
985,16
1000,14
1015,16
1027,13
1039,14
1049,17
1066,8
1076,12
1088,9
1099,12
1113,11
1123,12
1130,8
1144,7
1149,14
1162,7
1174,15
1188,16
1204,12
1218,12
1229,14
1238,11
1247,11
1261,15
1275,10
1289,17
1301,18
1313,16
1325,14
1339,13
1354,12
1369,12
1385,17
1398,18
1416,13
1432,18
1447,20
1462,16
1479,17
1495,18
1512,13
1530,22
1546,15
1564,18
1580,16
1597,18
1620,20
1629,12
1647,8
1663,18
1681,16
1695,17
1716,18
1729,19
1748,13
1764,20
1784,14
1803,22
1819,13
1834,17
1852,16
1861,14
1880,18
1894,16
1912,13
1931,16
1949,19
1964,24
1983,17
2001,10
2015,13
2034,22
2051,21
2066,15
2084,11
2102,21
2123,18
2138,22
2154,21
2177,16
2199,15
2215,21
2232,12
2244,15
2262,12
2277,14
2292,21
2309,15
2324,21
2338,22
2355,24
2376,14
2392,22
2413,30
2432,24
2451,13
2474,19
2491,19
2516,16
2543,25
2561,12
2576,13
2597,25
2620,20
2633,15
2648,19
2666,15
2686,19
2705,18
