initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
26,34,4,16,0,0.0740741
31,32,7,15,0,0.12963
27,33,6,15,0,0.111111
34,30,7,17,0,0.12963
25,34,4,16,0,0.0740741
39,27,10,17,0,0.185185
24,33,3,18,0,0.0555556
40,28,10,16,0,0.185185
22,34,2,18,0,0.037037
42,28,10,16,0,0.185185
24,34,3,17,0,0.0555556
38,24,7,23,0,0.12963
15,42,3,9,0,0.0555556
33,29,7,18,0,0.12963
22,35,3,16,0,0.0555556
32,30,6,18,0,0.111111
24,35,5,14,0,0.0925926
33,27,6,21,0,0.111111
23,36,5,13,0,0.0925926
32,29,6,19,0,0.111111
24,34,4,16,0,0.0740741
35,27,7,20,0,0.12963
21,34,1,19,0,0.0185185
32,30,8,16,0,0.148148
18,38,1,15,0,0.0185185
30,30,6,18,0,0.111111
21,39,6,9,0,0.111111
28,31,4,19,0,0.0740741
25,35,5,14,0,0.0925926
25,33,3,18,0,0.0555556
30,30,5,19,0,0.0925926
31,30,6,18,0,0.111111
28,33,6,15,0,0.111111
23,33,2,19,0,0.037037
26,32,4,18,0,0.0740741
26,35,5,14,0,0.0925926
29,31,4,19,0,0.0740741
27,32,5,17,0,0.0925926
21,36,3,15,0,0.0555556
31,31,5,18,0,0.0925926
24,33,3,18,0,0.0555556
35,26,7,21,0,0.12963
27,34,5,15,0,0.0925926
30,31,7,16,0,0.12963
27,29,2,23,0,0.037037
35,26,6,22,0,0.111111
16,38,0,16,0,0
28,32,5,17,0,0.0925926
12,42,0,12,0,0
25,33,3,18,0,0.0555556
21,36,3,15,0,0.0555556
22,36,3,15,0,0.0555556
27,32,5,17,0,0.0925926
29,32,7,15,0,0.12963
34,31,9,14,0,0.166667
28,32,5,17,0,0.0925926
42,24,9,21,0,0.166667
41,26,12,16,0,0.222222
45,23,9,21,1,0.166667
38,27,8,19,0,0.148148
43,25,10,19,0,0.185185
38,24,7,23,0,0.12963
40,28,9,17,0,0.166667
40,22,6,25,1,0.111111
35,23,3,27,1,0.0555556
28,31,5,18,0,0.0925926
33,31,8,15,0,0.148148
30,29,4,21,0,0.0740741
