MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
1,39,270,274,2,285,285,285,1,39,0,Success,2
2,15,240,240,1,248,248,248,1,15,0,Success,0
3,43,392,392,1,407,407,407,1,43,0,Success,0
4,33,271,275,2,285,285,285,1,33,0,Success,2
5,13,389,393,2,401,401,401,1,13,0,Success,1
6,13,443,443,1,453,453,453,1,13,0,Success,5
7,24,280,280,1,288,288,288,1,24,0,Success,0
8,4,394,394,1,403,403,403,1,4,0,Success,3
9,1,517,521,2,528,528,528,1,1,0,Success,0
10,40,551,555,2,565,565,565,1,40,0,Success,2
11,48,160,160,1,175,175,175,1,48,0,Success,0
12,16,458,458,1,464,464,464,1,16,0,Success,0
13,41,408,408,1,423,423,423,1,41,0,Success,0
14,47,431,435,2,444,444,444,1,47,0,Success,3
15,6,349,353,2,360,360,360,1,6,0,Success,0
16,11,607,611,2,617,617,617,1,11,0,Success,1
17,38,323,323,1,335,335,335,1,38,0,Success,0
18,47,267,267,1,275,275,275,1,47,0,Success,4
19,47,55,59,2,71,71,71,1,47,0,Success,0
20,21,352,352,1,360,360,360,1,21,0,Success,0
21,41,526,530,2,542,542,542,1,41,0,Success,1
22,27,569,569,1,583,583,583,1,27,0,Success,0
23,4,533,537,2,545,545,545,1,4,0,Success,1
24,14,384,384,1,392,392,392,1,14,0,Success,0
25,1,278,282,2,289,289,289,1,1,0,Success,1
26,44,203,203,1,215,215,215,1,44,0,Success,0
27,37,207,211,2,222,222,222,1,37,0,Success,1
28,11,282,282,1,291,291,291,1,11,0,Success,3
29,15,483,483,1,490,490,490,1,15,0,Success,2
30,2,300,304,2,312,312,312,1,2,0,Success,0
31,26,245,249,2,262,262,262,1,26,0,Success,1
32,47,496,496,1,511,511,511,1,47,0,Success,0
33,47,289,289,1,302,302,302,1,47,0,Success,1
34,48,599,603,2,614,614,614,1,48,0,Success,1
35,7,136,136,1,144,144,144,1,7,0,Success,0
36,29,752,752,1,767,767,767,1,29,0,Success,0
37,44,427,427,1,436,436,436,1,44,0,Success,3
38,49,261,265,2,278,278,278,1,49,0,Success,1
39,21,582,586,2,592,592,592,1,21,0,Success,0
40,41,571,571,1,582,582,582,1,41,0,Success,1
41,27,554,554,1,566,566,566,1,27,0,Success,1
42,8,446,450,2,457,457,457,1,8,0,Success,1
43,43,148,152,2,167,167,167,1,43,0,Success,0
44,17,280,280,1,288,288,288,1,17,0,Success,0
45,19,274,274,1,282,282,282,1,19,0,Success,2
46,22,546,546,1,552,552,552,1,22,0,Success,0
47,4,159,163,2,168,168,168,1,4,0,Success,0
48,5,540,544,2,552,552,552,1,5,0,Success,0
49,13,346,346,1,353,353,353,1,13,0,Success,1
50,24,447,451,2,457,457,457,1,24,1,Success,5
51,29,353,353,1,366,366,366,1,29,0,Success,1
52,32,349,353,2,366,366,366,1,32,0,Success,1
53,11,439,443,2,451,451,451,1,11,0,Success,3
54,5,566,570,2,578,578,578,1,5,0,Success,2
55,26,370,370,1,379,379,379,1,26,0,Success,4
56,37,808,808,1,823,823,823,1,37,0,Success,0
57,22,97,97,1,104,104,104,1,22,0,Success,0
58,43,402,402,1,413,413,413,1,43,0,Success,2
59,3,255,259,2,266,266,266,1,3,0,Success,2
60,16,384,384,1,392,392,392,1,16,0,Success,0
61,8,332,336,2,344,344,344,1,8,0,Success,0
62,3,553,553,1,560,560,560,1,3,0,Success,0
63,29,470,474,2,487,487,487,1,29,0,Success,0
64,4,501,505,2,512,512,512,1,4,0,Success,0
65,17,103,107,2,113,113,113,1,17,0,Success,1
66,16,555,555,1,560,560,560,1,16,0,Success,0
67,6,323,323,1,329,329,329,1,6,0,Success,1
68,32,332,336,2,351,351,351,1,32,0,Success,0
69,9,148,152,2,160,160,160,1,9,0,Success,0
70,49,555,555,1,567,567,567,1,49,0,Success,0
71,20,543,547,2,554,554,554,1,20,0,Success,2
72,11,497,497,1,504,504,504,1,11,0,Success,0
73,43,347,347,1,358,358,358,1,43,0,Success,1
74,18,341,345,2,352,352,352,1,18,0,Success,0
75,42,365,369,2,382,382,382,1,42,0,Success,1
76,21,771,771,1,779,779,779,1,21,0,Success,3
77,28,254,258,2,271,271,271,1,28,0,Success,0
78,41,481,481,1,493,493,493,1,41,0,Success,2
79,38,527,531,2,542,542,542,1,38,0,Success,1
80,44,756,760,2,775,775,775,1,44,0,Success,0
81,31,603,603,1,613,613,613,1,31,0,Success,2
82,21,290,290,1,297,297,297,1,21,0,Success,1
83,50,599,603,2,614,614,614,1,50,0,Success,1
84,33,553,553,1,567,567,567,1,33,0,Success,0
85,33,113,113,1,127,127,127,1,33,0,Success,0
86,23,280,280,1,288,288,288,1,23,0,Success,0
87,34,401,401,1,414,414,414,1,34,0,Success,1
88,14,224,224,1,232,232,232,1,14,0,Success,0
89,7,608,608,1,616,616,616,1,7,0,Success,0
90,36,399,403,2,414,414,414,1,36,0,Success,1
91,11,291,291,1,298,298,298,1,11,0,Success,2
92,19,686,690,2,696,696,696,1,19,0,Success,0
93,19,323,323,1,329,329,329,1,19,0,Success,1
94,29,623,627,2,637,637,637,1,29,0,Success,2
95,17,570,570,1,577,577,577,1,17,0,Success,1
96,37,550,554,2,566,566,566,1,37,0,Success,1
97,2,495,499,2,506,506,506,1,2,0,Success,2
98,19,666,666,1,673,673,673,1,19,0,Success,1
99,13,493,497,2,504,504,504,1,13,0,Success,0
100,18,305,305,1,312,312,312,1,18,0,Success,0
101,49,315,315,1,323,323,323,1,49,0,Success,4
102,23,553,553,1,561,561,561,1,23,0,Success,1
103,15,552,552,1,560,560,560,1,15,0,Success,0
104,1,243,243,1,249,249,249,1,1,0,Success,1
105,42,385,385,1,399,399,399,1,42,0,Success,0
106,46,415,419,2,428,428,428,1,46,0,Success,3
107,8,236,240,2,248,248,248,1,8,0,Success,0
108,38,615,619,2,626,626,626,1,38,0,Success,5
109,21,469,473,2,481,481,481,1,21,0,Success,1
110,1,551,555,2,560,560,560,1,1,0,Success,0
