success,beta_nMTCD
0,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,1
2,0
3,0
3,1
3,0
3,0
3,0
4,0
4,1
4,0
5,0
5,1
5,0
8,0
9,3
11,1
11,2
13,0
17,2
18,4
22,1
25,4
28,3
30,3
32,2
34,2
36,2
41,2
44,5
46,3
49,2
53,3
58,4
59,5
62,3
67,3
73,3
78,6
82,5
88,6
95,6
96,5
100,3
105,4
113,3
114,8
116,1
120,2
122,6
126,2
134,2
139,8
145,5
151,6
154,6
162,3
167,12
175,8
185,8
196,9
204,7
213,6
217,11
226,6
238,7
249,12
261,11
263,10
273,12
283,10
290,14
307,9
315,11
328,8
337,11
347,9
353,9
364,6
376,12
389,16
401,12
421,10
432,17
442,7
452,10
465,13
475,11
484,9
497,9
507,13
517,10
529,16
548,18
562,15
578,16
592,14
605,21
624,15
640,12
653,22
671,19
683,27
702,12
725,17
742,19
758,18
781,12
793,17
809,18
827,19
847,19
865,23
885,24
908,21
922,14
937,15
960,18
984,23
1005,25
1018,19
1039,20
1060,25
1080,22
1100,21
1112,27
1131,13
1149,26
1167,22
1185,23
1197,16
1210,28
1220,11
1239,30
1247,33
1262,24
1273,39
1284,17
1293,20
1307,21
1311,22
1320,30
1325,29
1337,19
1337,19
1341,24
1345,30
1353,24
1356,24
1360,27
1361,26
1366,37
1368,38
1368,34
1371,33
1372,22
1372,35
1372,37
1373,28
1374,27
1374,42
1375,30
1375,36
1375,38
1377,29
1378,32
1379,25
1379,30
1380,40
1380,36
1380,37
1380,44
1380,38
1380,29
1381,21
1381,32
1382,33
1382,31
1382,39
1382,39
1382,31
1383,42
1383,43
1383,31
1383,38
1383,34
1384,45
1384,32
1385,46
1385,35
1386,39
1386,37
1386,33
1386,41
1386,32
1386,41
1386,34
1387,38
1387,38
1388,38
1388,33
1388,31
1389,54
1389,42
1389,38
1389,41
1389,32
1390,36
1390,43
1390,43
1390,38
1390,41
1390,48
1390,38
1390,42
1390,44
1390,49
1390,42
1390,46
1390,54
1390,45
1390,42
1390,51
1390,40
1390,48
1390,43
1390,43
1390,43
1390,48
1390,45
1390,43
1390,43
1390,56
1390,49
1390,55
1390,37
1390,40
1391,43
1391,53
1391,45
1391,53
1391,49
1391,45
1391,59
1391,44
1391,48
1391,46
1391,49
1391,51
1391,44
1391,51
1391,47
1391,44
1391,51
1391,52
1391,50
1391,52
1391,39
1391,54
1391,53
1391,49
1391,50
1391,37
1391,57
1391,53
1391,58
1391,53
1391,41
1391,42
1391,52
1391,48
1391,45
1391,43
1391,52
1391,59
1391,55
1391,59
1391,55
1391,56
1391,46
1391,54
1391,68
1391,65
1391,55
1391,54
1391,59
1391,51
1391,66
1391,47
1391,51
1391,54
1391,62
1391,53
1391,62
1391,49
1391,59
1391,53
1391,54
1391,54
1391,65
1391,49
1391,56
1391,63
1391,62
1391,47
1391,53
1391,59
1391,51
1391,56
1391,55
1391,61
1391,59
1391,51
1391,65
1391,63
1391,48
1391,63
1391,54
1391,72
1391,52
1391,45
1391,58
1391,56
1391,67
1391,48
1391,55
1391,48
1391,56
1391,56
1391,57
1391,57
1391,57
1391,72
1391,51
1391,65
1391,60
1391,55
1391,57
1391,76
1391,79
1391,67
1391,58
1391,60
1391,73
1391,75
1391,78
1391,56
1391,49
1391,64
1391,60
1391,70
1391,50
1391,58
1391,63
1391,68
1391,74
1391,63
1391,68
1391,63
1391,52
1391,54
1391,62
1391,59
1391,54
1391,63
1391,64
1391,72
1391,63
1391,47
1391,56
1391,62
1391,64
1391,76
1391,62
1391,51
1391,70
1391,48
1391,67
1391,56
1391,65
1391,55
1391,62
1391,66
1391,57
1391,55
1391,66
1391,57
1391,59
1391,65
1391,57
1391,53
1391,69
1391,64
1391,59
1391,69
1391,76
1391,56
1391,65
1391,75
1391,62
1391,78
1392,66
1392,64
1392,49
1392,66
1392,55
1392,55
1392,46
1392,68
1392,65
1392,51
1392,74
1392,64
1392,56
1392,47
1392,73
1392,52
1392,57
1392,58
1392,69
1392,65
1392,61
1392,45
1392,68
1392,50
1392,66
1392,56
1392,66
1392,66
1392,61
1392,56
1392,56
1392,78
1392,67
1392,68
1392,62
1392,51
1392,56
1392,69
