initateRA,firstRA,successRA,retranmission
222,204,-1,11
417,399,-1,11
328,310,-1,11
341,323,-1,11
779,775,779,3
469,451,-1,11
679,661,-1,11
358,340,-1,11
181,163,-1,11
265,247,-1,11
319,301,-1,11
416,398,-1,11
624,606,-1,11
264,246,-1,11
315,297,-1,11
598,580,-1,11
160,142,-1,11
350,332,-1,11
779,775,779,3
370,352,-1,11
292,274,-1,11
791,783,791,5
301,283,-1,11
571,553,-1,11
201,183,-1,11
579,561,-1,11
169,151,-1,11
494,476,-1,11
690,672,-1,11
672,654,-1,11
396,378,-1,11
553,535,-1,11
591,573,-1,11
314,296,-1,11
458,440,-1,11
246,228,-1,11
639,621,-1,11
785,785,785,1
695,677,-1,11
342,324,-1,11
496,478,-1,11
471,453,-1,11
438,420,-1,11
435,417,-1,11
291,273,-1,11
314,296,-1,11
296,278,-1,11
463,445,-1,11
614,596,-1,11
611,593,-1,11
272,254,-1,11
332,314,-1,11
228,210,-1,11
410,392,-1,11
554,536,-1,11
416,398,-1,11
719,701,-1,11
602,584,-1,11
620,602,-1,11
557,539,-1,11
882,882,882,1
839,839,839,1
629,611,-1,11
466,448,-1,11
783,765,-1,11
467,449,-1,11
250,232,-1,11
350,332,-1,11
481,463,-1,11
243,225,-1,11
572,554,-1,11
539,521,-1,11
284,266,-1,11
836,836,836,1
364,346,-1,11
508,490,-1,11
424,406,-1,11
193,175,-1,11
617,599,-1,11
649,631,-1,11
455,437,-1,11
513,495,-1,11
644,626,-1,11
325,307,-1,11
366,348,-1,11
363,345,-1,11
462,444,-1,11
279,261,-1,11
490,472,-1,11
488,470,-1,11
495,477,-1,11
647,629,-1,11
658,640,-1,11
322,304,-1,11
305,287,-1,11
183,165,-1,11
382,364,-1,11
430,412,-1,11
116,116,116,1
334,316,-1,11
223,205,-1,11
442,424,-1,11
297,279,-1,11
374,356,-1,11
436,418,-1,11
500,482,-1,11
452,434,-1,11
773,755,-1,11
508,490,-1,11
609,591,-1,11
584,566,-1,11
633,615,-1,11
226,208,-1,11
351,333,-1,11
587,569,-1,11
327,309,-1,11
340,322,-1,11
614,596,-1,11
478,460,-1,11
476,458,-1,11
434,416,-1,11
306,288,-1,11
424,406,-1,11
217,199,-1,11
441,423,-1,11
119,111,119,5
676,658,-1,11
495,477,-1,11
249,231,-1,11
692,674,-1,11
587,569,-1,11
446,428,-1,11
308,290,-1,11
651,633,-1,11
322,304,-1,11
540,522,-1,11
492,474,-1,11
396,378,-1,11
401,383,-1,11
480,462,-1,11
510,492,-1,11
710,692,-1,11
730,712,-1,11
242,224,-1,11
656,638,-1,11
222,204,-1,11
371,353,-1,11
334,316,-1,11
307,289,-1,11
320,302,-1,11
642,624,-1,11
582,564,-1,11
387,369,-1,11
462,444,-1,11
218,200,-1,11
472,454,-1,11
588,570,-1,11
652,634,-1,11
322,304,-1,11
234,216,-1,11
586,568,-1,11
441,423,-1,11
513,495,-1,11
442,424,-1,11
552,534,-1,11
316,298,-1,11
30,30,30,1
491,473,-1,11
139,139,139,1
213,195,-1,11
189,171,-1,11
504,486,-1,11
350,332,-1,11
258,240,-1,11
367,349,-1,11
687,669,-1,11
461,443,-1,11
183,165,-1,11
530,512,-1,11
357,339,-1,11
369,351,-1,11
372,354,-1,11
467,449,-1,11
411,393,-1,11
448,430,-1,11
267,249,-1,11
657,639,-1,11
400,382,-1,11
430,412,-1,11
529,511,-1,11
745,727,-1,11
112,108,112,3
295,277,-1,11
552,534,-1,11
458,440,-1,11
603,585,-1,11
279,261,-1,11
896,896,896,1
540,522,-1,11
457,439,-1,11
542,524,-1,11
282,264,-1,11
261,243,-1,11
326,308,-1,11
396,378,-1,11
452,434,-1,11
280,262,-1,11
648,630,-1,11
327,309,-1,11
129,123,129,4
425,407,-1,11
417,399,-1,11
569,551,-1,11
212,194,-1,11
143,139,143,3
611,593,-1,11
431,413,-1,11
443,425,-1,11
607,589,-1,11
631,613,-1,11
346,328,-1,11
500,482,-1,11
548,530,-1,11
332,314,-1,11
605,587,-1,11
590,572,-1,11
97,97,97,1
762,750,762,7
281,263,-1,11
549,531,-1,11
587,569,-1,11
424,406,-1,11
694,676,-1,11
70,70,70,1
147,145,147,2
548,530,-1,11
471,453,-1,11
362,344,-1,11
597,579,-1,11
309,291,-1,11
486,468,-1,11
502,484,-1,11
236,218,-1,11
567,549,-1,11
397,379,-1,11
541,523,-1,11
602,584,-1,11
499,481,-1,11
343,325,-1,11
573,555,-1,11
479,461,-1,11
151,145,151,4
654,636,-1,11
250,232,-1,11
422,404,-1,11
395,377,-1,11
333,315,-1,11
542,524,-1,11
336,318,-1,11
486,468,-1,11
276,258,-1,11
332,314,-1,11
616,598,-1,11
697,679,-1,11
384,366,-1,11
497,479,-1,11
559,541,-1,11
274,256,-1,11
361,343,-1,11
278,260,-1,11
515,497,-1,11
610,592,-1,11
421,403,-1,11
318,300,-1,11
530,512,-1,11
347,329,-1,11
320,302,-1,11
549,531,-1,11
437,419,-1,11
251,233,-1,11
394,376,-1,11
666,648,-1,11
455,437,-1,11
330,312,-1,11
520,502,-1,11
773,755,-1,11
331,313,-1,11
407,389,-1,11
612,594,-1,11
327,309,-1,11
310,292,-1,11
353,335,-1,11
450,432,-1,11
665,647,-1,11
470,452,-1,11
689,671,-1,11
321,303,-1,11
670,652,-1,11
666,648,-1,11
732,714,-1,11
282,264,-1,11
714,696,-1,11
400,382,-1,11
652,634,-1,11
304,286,-1,11
219,201,-1,11
634,616,-1,11
344,326,-1,11
217,199,-1,11
738,720,-1,11
739,721,-1,11
278,260,-1,11
502,484,-1,11
509,491,-1,11
514,496,-1,11
621,603,-1,11
221,203,-1,11
217,199,-1,11
386,368,-1,11
701,683,-1,11
741,723,-1,11
192,174,-1,11
388,370,-1,11
612,594,-1,11
428,410,-1,11
754,740,754,8
682,664,-1,11
110,104,110,4
193,175,-1,11
418,400,-1,11
612,594,-1,11
334,316,-1,11
435,417,-1,11
548,530,-1,11
686,668,-1,11
308,290,-1,11
520,502,-1,11
238,220,-1,11
765,765,765,1
685,667,-1,11
513,495,-1,11
434,416,-1,11
232,214,-1,11
206,188,-1,11
285,267,-1,11
472,454,-1,11
477,459,-1,11
829,829,829,1
447,429,-1,11
623,605,-1,11
272,254,-1,11
752,736,752,9
515,497,-1,11
413,395,-1,11
726,708,-1,11
573,555,-1,11
296,278,-1,11
314,296,-1,11
661,643,-1,11
370,352,-1,11
574,556,-1,11
574,556,-1,11
440,422,-1,11
461,443,-1,11
446,428,-1,11
775,757,-1,11
186,168,-1,11
334,316,-1,11
706,688,-1,11
196,178,-1,11
197,179,-1,11
344,326,-1,11
456,438,-1,11
552,534,-1,11
248,230,-1,11
547,529,-1,11
583,565,-1,11
791,779,791,7
500,482,-1,11
232,214,-1,11
240,222,-1,11
556,538,-1,11
275,257,-1,11
271,253,-1,11
340,322,-1,11
458,440,-1,11
547,529,-1,11
657,639,-1,11
619,601,-1,11
583,565,-1,11
542,524,-1,11
466,448,-1,11
521,503,-1,11
813,813,813,1
478,460,-1,11
192,174,-1,11
408,390,-1,11
393,375,-1,11
118,116,118,2
674,672,674,2
481,463,-1,11
427,409,-1,11
623,605,-1,11
578,560,-1,11
337,319,-1,11
336,318,-1,11
339,321,-1,11
419,401,-1,11
386,368,-1,11
774,756,-1,11
565,547,-1,11
477,459,-1,11
192,174,-1,11
509,491,-1,11
220,202,-1,11
561,543,-1,11
522,504,-1,11
321,303,-1,11
293,275,-1,11
704,686,-1,11
329,311,-1,11
613,595,-1,11
561,543,-1,11
587,569,-1,11
463,445,-1,11
249,231,-1,11
356,338,-1,11
316,298,-1,11
364,346,-1,11
104,104,104,1
180,162,-1,11
446,428,-1,11
507,489,-1,11
506,488,-1,11
467,449,-1,11
457,439,-1,11
368,350,-1,11
248,230,-1,11
116,116,116,1
322,304,-1,11
447,429,-1,11
398,380,-1,11
463,445,-1,11
586,568,-1,11
382,364,-1,11
545,527,-1,11
599,581,-1,11
352,334,-1,11
723,705,-1,11
349,331,-1,11
488,470,-1,11
533,515,-1,11
425,407,-1,11
765,747,-1,11
437,419,-1,11
551,533,-1,11
474,456,-1,11
806,806,806,1
542,524,-1,11
444,426,-1,11
305,287,-1,11
199,181,-1,11
487,469,-1,11
193,175,-1,11
419,401,-1,11
510,492,-1,11
310,292,-1,11
723,705,-1,11
189,171,-1,11
433,415,-1,11
709,691,-1,11
481,463,-1,11
96,94,96,2
790,788,790,2
351,333,-1,11
249,231,-1,11
78,78,78,1
359,341,-1,11
323,305,-1,11
259,241,-1,11
540,522,-1,11
276,258,-1,11
530,512,-1,11
805,805,805,1
288,270,-1,11
191,173,-1,11
518,500,-1,11
492,474,-1,11
340,322,-1,11
192,174,-1,11
336,318,-1,11
337,319,-1,11
898,898,898,1
247,229,-1,11
304,286,-1,11
181,163,-1,11
638,620,-1,11
375,357,-1,11
450,432,-1,11
335,317,-1,11
531,513,-1,11
623,605,-1,11
566,548,-1,11
400,382,-1,11
256,238,-1,11
221,203,-1,11
785,785,785,1
253,235,-1,11
605,587,-1,11
300,282,-1,11
533,515,-1,11
820,820,820,1
745,727,-1,11
234,216,-1,11
708,690,-1,11
525,507,-1,11
271,253,-1,11
329,311,-1,11
169,151,-1,11
288,270,-1,11
543,525,-1,11
557,539,-1,11
368,350,-1,11
203,185,-1,11
414,396,-1,11
135,131,135,3
543,525,-1,11
437,419,-1,11
44,44,44,1
422,404,-1,11
539,521,-1,11
763,747,763,9
367,349,-1,11
741,723,-1,11
387,369,-1,11
336,318,-1,11
491,473,-1,11
74,74,74,1
228,210,-1,11
335,317,-1,11
450,432,-1,11
363,345,-1,11
377,359,-1,11
221,203,-1,11
214,196,-1,11
269,251,-1,11
415,397,-1,11
498,480,-1,11
860,860,860,1
77,77,77,1
519,501,-1,11
601,583,-1,11
264,246,-1,11
188,170,-1,11
606,588,-1,11
387,369,-1,11
337,319,-1,11
667,649,-1,11
697,679,-1,11
717,699,-1,11
452,434,-1,11
374,356,-1,11
548,530,-1,11
367,349,-1,11
249,231,-1,11
687,669,-1,11
724,706,-1,11
315,297,-1,11
418,400,-1,11
539,521,-1,11
763,745,-1,11
212,194,-1,11
625,607,-1,11
740,738,740,2
607,589,-1,11
348,330,-1,11
730,714,730,9
262,244,-1,11
143,143,143,1
567,549,-1,11
277,259,-1,11
764,750,764,8
503,485,-1,11
292,274,-1,11
423,405,-1,11
802,802,802,1
293,275,-1,11
582,564,-1,11
253,235,-1,11
202,184,-1,11
703,685,-1,11
410,392,-1,11
408,390,-1,11
331,313,-1,11
272,254,-1,11
668,650,-1,11
107,107,107,1
141,139,141,2
486,468,-1,11
676,658,-1,11
284,266,-1,11
745,727,-1,11
400,382,-1,11
233,215,-1,11
341,323,-1,11
488,470,-1,11
500,482,-1,11
762,750,762,7
543,525,-1,11
537,519,-1,11
245,227,-1,11
809,809,809,1
262,244,-1,11
238,220,-1,11
319,301,-1,11
600,582,-1,11
605,587,-1,11
258,240,-1,11
602,584,-1,11
591,573,-1,11
457,439,-1,11
345,327,-1,11
720,702,-1,11
507,489,-1,11
252,234,-1,11
293,275,-1,11
369,351,-1,11
102,102,102,1
650,632,-1,11
795,793,795,2
569,551,-1,11
356,338,-1,11
551,533,-1,11
360,342,-1,11
143,143,143,1
754,746,754,5
394,376,-1,11
209,191,-1,11
496,478,-1,11
717,699,-1,11
53,51,53,2
255,237,-1,11
617,599,-1,11
352,334,-1,11
316,298,-1,11
578,560,-1,11
57,57,57,1
408,390,-1,11
584,566,-1,11
134,134,134,1
414,396,-1,11
163,145,-1,11
677,659,-1,11
451,433,-1,11
353,335,-1,11
520,502,-1,11
429,411,-1,11
717,699,-1,11
269,251,-1,11
310,292,-1,11
415,397,-1,11
506,488,-1,11
711,693,-1,11
295,277,-1,11
351,333,-1,11
291,273,-1,11
139,139,139,1
309,291,-1,11
455,437,-1,11
453,435,-1,11
557,539,-1,11
498,480,-1,11
655,637,-1,11
544,526,-1,11
636,618,-1,11
572,554,-1,11
540,522,-1,11
398,380,-1,11
427,409,-1,11
462,444,-1,11
378,360,-1,11
650,632,-1,11
539,521,-1,11
281,263,-1,11
463,445,-1,11
778,768,778,6
499,481,-1,11
279,261,-1,11
526,508,-1,11
851,851,851,1
284,266,-1,11
199,181,-1,11
426,408,-1,11
277,259,-1,11
616,598,-1,11
557,539,-1,11
549,531,-1,11
533,515,-1,11
328,310,-1,11
492,474,-1,11
765,761,765,3
342,324,-1,11
186,168,-1,11
784,766,784,10
560,542,-1,11
343,325,-1,11
497,479,-1,11
350,332,-1,11
505,487,-1,11
701,683,-1,11
410,392,-1,11
198,180,-1,11
118,114,118,3
517,499,-1,11
563,545,-1,11
665,657,665,5
571,553,-1,11
269,251,-1,11
440,422,-1,11
400,382,-1,11
369,351,-1,11
569,551,-1,11
