success,beta_nMTCD
0,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,1
2,0
4,0
4,2
4,0
4,0
4,0
5,0
6,1
6,1
9,0
9,3
9,0
11,0
12,4
16,1
17,2
19,1
25,2
27,6
34,2
37,7
44,3
47,7
50,3
53,5
57,5
64,2
69,5
72,5
76,3
82,4
88,6
93,6
95,7
102,4
107,5
111,7
120,6
127,7
136,8
143,7
148,7
158,5
166,7
172,10
180,6
191,6
194,11
199,3
207,5
213,12
225,6
236,10
249,11
258,11
266,15
278,10
290,12
304,12
313,12
331,11
344,16
353,11
366,10
378,15
398,15
417,16
433,17
446,19
463,19
481,16
497,17
509,17
526,15
539,22
550,15
563,12
579,17
597,24
615,21
635,20
658,21
681,16
697,22
717,23
731,18
749,19
766,16
787,19
808,21
829,25
846,28
864,23
878,24
898,31
912,31
926,25
935,24
950,31
959,29
973,38
979,19
987,24
994,33
1002,29
1005,26
1008,23
1010,32
1019,28
1022,32
1026,33
1029,36
1029,40
1029,23
1030,33
1031,32
1031,35
1032,34
1033,30
1033,28
1033,36
1033,38
1033,34
1034,37
1035,28
1035,39
1036,38
1036,36
1036,35
1036,45
1037,29
1037,47
1037,49
1037,42
1037,54
1037,31
1037,34
1037,36
1037,36
1037,41
1038,52
1038,32
1038,37
1038,38
1038,53
1038,43
1038,37
1038,48
1038,46
1038,50
1038,58
1038,62
1038,53
1038,35
1038,56
1038,46
1038,43
1038,46
1038,62
1038,47
1038,43
1038,62
1038,58
1038,46
1038,45
1038,56
1038,62
1038,54
1038,55
1038,67
1038,64
1038,56
1038,42
1038,51
1038,55
1038,61
1038,63
1038,66
1038,52
1038,68
1038,80
1038,55
1038,58
1038,59
1038,76
1038,54
1038,71
1038,59
1038,73
1038,65
1038,66
1038,62
1038,59
1038,69
1038,67
1038,65
1038,66
1038,72
1038,56
1038,49
1038,86
1038,64
1038,63
1038,66
1038,60
1038,66
1038,64
1038,73
1038,73
1038,64
1038,86
1038,73
1038,68
1038,78
1038,77
1038,82
1038,77
1038,82
1038,78
1038,78
1038,79
1038,66
1038,88
1038,73
1038,70
1038,71
1038,74
1038,69
1038,71
1038,79
1038,97
1038,77
1038,77
1038,69
1038,74
1038,73
1038,81
1038,87
1038,82
1038,80
1038,81
1038,84
1038,73
1038,90
1038,83
1038,76
1038,90
1038,76
1038,81
1038,85
1038,75
1038,95
1038,88
1038,78
1038,90
1038,83
1038,94
1038,84
1038,81
1038,82
1038,81
1038,90
1038,86
1038,94
1038,79
1038,88
1038,79
1038,98
1038,79
1038,87
1038,79
1038,79
1038,99
1038,86
1038,94
1038,93
1038,94
1038,83
1038,87
1038,94
1038,106
1038,93
1038,89
1038,87
1038,85
1038,106
1038,80
1038,93
1038,97
1038,101
1038,91
1038,96
1038,96
1038,91
1038,97
1038,86
1038,90
1038,92
1038,91
1038,98
1038,106
1038,99
1038,96
1038,90
1038,88
1038,91
1038,97
1038,97
1038,104
1038,103
1038,89
1038,101
1038,94
1038,95
1038,96
1038,98
1038,102
1038,87
1038,78
1038,94
1038,111
1038,108
1038,96
1038,95
1038,93
1038,79
1038,97
1038,95
1038,103
1038,102
1038,103
1038,99
1038,116
1038,99
1038,98
1038,95
1038,110
1038,121
1038,110
1038,95
1038,100
1038,115
1038,116
1038,119
1038,104
1038,91
1038,114
1038,104
1038,105
1038,87
1038,102
1038,106
1038,113
1038,120
1038,110
1038,108
1038,104
1038,91
1038,97
1038,111
1038,96
1038,89
1038,94
1038,107
1038,111
1038,102
1038,76
1038,93
1038,107
1038,99
1038,116
1038,104
1038,91
1038,113
1038,82
1038,109
1038,100
1038,116
1038,102
1038,103
1038,113
1038,101
1038,92
1038,108
1038,97
1038,97
1038,107
1038,93
1038,94
1038,116
1038,106
1038,95
1038,119
1038,117
1038,97
1038,106
1038,122
1038,101
1038,119
1038,97
1038,107
1038,97
1038,112
1038,101
1038,97
1038,85
1038,117
1038,118
1038,88
1038,119
1038,106
1038,105
1038,104
1038,112
1038,88
1038,112
1038,101
1038,99
1038,108
1038,96
1038,86
1038,111
1038,91
1038,106
1038,91
1038,114
1038,106
1038,108
1038,103
1038,93
1038,112
1038,100
1038,109
1038,104
