MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
216,2,320,320,1,328,328,328,1,2,0,Success,0
217,30,113,113,1,127,127,127,1,30,0,Success,0
218,50,495,499,2,509,509,509,1,50,2,Success,10
219,30,714,714,1,725,725,725,1,30,1,Success,6
220,26,324,328,2,343,343,343,1,26,0,Success,0
221,9,555,555,1,564,564,564,1,9,0,Success,4
222,1,414,418,2,425,425,425,1,1,2,Success,9
223,6,400,400,1,408,408,408,1,6,0,Success,0
224,39,311,315,2,326,326,326,1,39,1,Success,5
225,36,378,378,1,391,391,391,1,36,1,Success,4
226,46,350,354,2,366,366,366,1,46,1,Success,5
227,41,482,482,1,494,494,494,1,41,1,Success,5
228,4,480,480,1,488,488,488,1,4,0,Success,0
229,4,376,376,1,384,384,384,1,4,0,Success,0
230,43,489,489,1,503,503,503,1,43,1,Success,4
231,30,662,666,2,676,676,676,1,30,0,Success,3
232,24,483,483,1,490,490,490,1,24,1,Success,6
233,29,361,361,1,373,373,373,1,29,0,Success,2
234,42,382,386,2,396,396,396,1,42,0,Success,3
235,43,455,459,2,469,469,469,1,43,2,Success,10
236,49,291,291,1,303,303,303,1,49,2,Success,8
237,36,410,410,1,420,420,420,1,36,0,Success,3
238,5,512,512,1,520,520,520,1,5,0,Success,0
239,28,623,627,2,637,637,637,1,28,1,Success,6
240,1,744,744,1,752,752,752,1,1,0,Success,0
241,9,366,370,2,376,376,376,1,9,1,Success,4
242,30,398,402,2,412,412,412,1,30,1,Success,7
243,30,718,722,2,733,733,733,1,30,0,Success,2
244,31,531,531,1,543,543,543,1,31,2,Success,8
245,44,275,275,1,285,285,285,1,44,1,Success,6
246,21,264,264,1,272,272,272,1,21,0,Success,0
247,27,489,489,1,501,501,501,1,27,0,Success,2
248,32,266,266,1,277,277,277,1,32,0,Success,2
249,31,244,248,2,263,263,263,1,31,0,Success,0
250,41,683,683,1,694,694,694,1,41,0,Success,1
251,19,408,408,1,416,416,416,1,19,0,Success,0
252,30,428,432,2,447,447,447,1,30,0,Success,0
253,29,271,275,2,284,284,284,1,29,2,Success,11
254,5,336,336,1,344,344,344,1,5,0,Success,0
255,46,828,832,2,847,847,847,1,46,0,Success,0
256,4,462,466,2,472,472,472,1,4,2,Success,8
257,3,436,440,2,448,448,448,1,3,0,Success,0
258,40,460,464,2,479,479,479,1,40,0,Success,0
259,43,187,187,1,194,194,194,1,43,0,Success,5
260,47,238,242,2,255,255,255,1,47,2,Success,8
261,29,176,176,1,191,191,191,1,29,0,Success,0
262,26,590,594,2,607,607,607,1,26,1,Success,4
263,49,115,115,1,123,123,123,1,49,0,Success,4
264,13,655,659,2,666,666,666,1,13,0,Success,2
265,30,664,664,1,679,679,679,1,30,0,Success,0
266,26,204,208,2,223,223,223,1,26,0,Success,0
267,47,237,241,2,255,255,255,1,47,1,Success,4
268,47,380,384,2,399,399,399,1,47,0,Success,0
269,30,537,537,1,548,548,548,1,30,1,Success,7
270,46,197,201,2,213,213,213,1,46,0,Success,2
271,18,574,578,2,586,586,586,1,18,0,Success,2
272,37,522,522,1,535,535,535,1,37,1,Success,4
273,20,346,346,1,357,357,357,1,20,0,Success,5
274,34,557,561,2,574,574,574,1,34,0,Success,1
275,30,361,361,1,373,373,373,1,30,1,Success,6
276,33,538,538,1,551,551,551,1,33,1,Success,4
277,50,311,315,2,321,321,321,1,50,0,Success,6
278,50,497,497,1,508,508,508,1,50,0,Success,3
279,44,393,393,1,405,405,405,1,44,0,Success,2
280,27,610,610,1,622,622,622,1,27,1,Success,5
281,40,349,353,2,367,367,367,1,40,0,Success,0
282,17,282,282,1,289,289,289,1,17,1,Success,5
283,28,320,320,1,335,335,335,1,28,0,Success,0
284,33,489,489,1,500,500,500,1,33,0,Success,3
285,24,469,473,2,480,480,480,1,24,0,Success,0
286,5,336,336,1,345,345,345,1,5,0,Success,1
287,39,214,218,2,230,230,230,1,39,1,Success,5
288,43,687,691,2,702,702,702,1,43,0,Success,1
289,30,231,235,2,244,244,244,1,30,2,Success,11
290,11,466,466,1,475,475,475,1,11,0,Success,3
291,23,376,376,1,384,384,384,1,23,0,Success,0
292,32,394,394,1,407,407,407,1,32,0,Success,0
293,43,396,400,2,415,415,415,1,43,0,Success,0
294,24,651,651,1,662,662,662,1,24,0,Success,6
295,49,330,330,1,341,341,341,1,49,0,Success,2
296,21,139,139,1,146,146,146,1,21,0,Success,2
297,50,499,499,1,508,508,508,1,50,2,Success,11
298,27,375,379,2,387,387,387,1,27,0,Success,12
299,34,691,691,1,702,702,702,1,34,0,Success,1
300,41,681,681,1,695,695,695,1,41,0,Success,0
301,47,318,322,2,333,333,333,1,47,1,Success,6
302,44,497,497,1,510,510,510,1,44,0,Success,1
303,42,805,809,2,823,823,823,1,42,0,Success,0
304,28,447,451,2,457,457,457,1,28,1,Success,18
305,49,241,241,1,254,254,254,1,49,0,Success,1
306,9,659,659,1,668,668,668,1,9,0,Success,4
307,38,238,242,2,253,253,253,1,38,0,Success,2
308,31,245,249,2,260,260,260,1,31,0,Success,3
309,49,509,513,2,527,527,527,1,49,0,Success,0
310,23,312,312,1,320,320,320,1,23,0,Success,0
311,37,286,290,2,302,302,302,1,37,1,Success,5
312,14,94,98,2,104,104,104,1,14,0,Success,0
313,13,391,395,2,403,403,403,1,13,0,Success,3
314,2,319,323,2,335,335,335,1,2,0,Success,15
315,20,421,425,2,432,432,432,1,20,0,Success,0
316,24,487,491,2,499,499,499,1,24,1,Success,7
317,9,319,323,2,331,331,331,1,9,1,Success,7
318,27,491,491,1,497,497,497,1,27,0,Success,14
319,28,474,474,1,487,487,487,1,28,1,Success,4
320,1,280,280,1,288,288,288,1,1,0,Success,0
321,25,517,521,2,530,530,530,1,25,0,Success,2
322,1,324,328,2,336,336,336,1,1,0,Success,0
323,26,198,202,2,213,213,213,1,26,1,Success,6
324,15,275,275,1,280,280,280,1,15,2,Success,8
325,18,484,488,2,496,496,496,1,18,0,Success,0
326,33,618,618,1,630,630,630,1,33,0,Success,1
327,28,178,178,1,191,191,191,1,28,1,Success,4
328,32,370,370,1,383,383,383,1,32,2,Success,8
329,4,723,723,1,728,728,728,1,4,2,Success,8
330,27,510,514,2,524,524,524,1,27,2,Success,11
331,46,164,168,2,183,183,183,1,46,0,Success,0
332,43,405,409,2,421,421,421,1,43,0,Success,2
333,28,293,297,2,310,310,310,1,28,0,Success,1
334,3,372,376,2,384,384,384,1,3,0,Success,0
335,35,450,450,1,462,462,462,1,35,0,Success,1
336,48,411,411,1,422,422,422,1,48,2,Success,9
337,22,277,281,2,289,289,289,1,22,0,Success,1
338,15,684,688,2,696,696,696,1,15,0,Success,0
339,31,354,354,1,364,364,364,1,31,1,Success,7
340,38,91,91,1,103,103,103,1,38,0,Success,0
341,40,521,521,1,535,535,535,1,40,0,Success,0
342,23,398,402,2,410,410,410,1,23,0,Success,2
343,26,232,232,1,247,247,247,1,26,0,Success,0
344,13,454,458,2,464,464,464,1,13,1,Success,4
345,48,251,251,1,259,259,259,1,48,0,Success,4
346,5,213,217,2,224,224,224,1,5,0,Success,0
347,32,343,347,2,357,357,357,1,32,0,Success,2
348,32,858,858,1,871,871,871,1,32,0,Success,0
349,8,165,169,2,176,176,176,1,8,0,Success,0
350,28,275,275,1,284,284,284,1,28,1,Success,7
351,42,656,656,1,671,671,671,1,42,0,Success,0
352,13,398,402,2,411,411,411,1,13,0,Success,3
353,38,433,433,1,444,444,444,1,38,0,Success,3
354,32,676,680,2,695,695,695,1,32,0,Success,0
355,24,603,603,1,611,611,611,1,24,1,Success,7
356,17,529,529,1,537,537,537,1,17,0,Success,1
357,42,204,208,2,223,223,223,1,42,0,Success,0
358,21,399,403,2,409,409,409,1,21,2,Success,9
359,4,310,314,2,323,323,323,1,4,0,Success,3
360,4,323,323,1,331,331,331,1,4,1,Success,7
361,6,775,779,2,784,784,784,1,6,0,Success,0
362,48,451,451,1,460,460,460,1,48,1,Success,7
363,9,661,665,2,674,674,674,1,9,0,Success,2
364,30,340,344,2,359,359,359,1,30,0,Success,0
365,11,163,163,1,170,170,170,1,11,0,Success,2
366,43,247,251,2,262,262,262,1,43,0,Success,1
367,2,301,305,2,315,315,315,1,2,1,Success,7
368,7,398,402,2,409,409,409,1,7,0,Success,1
369,30,606,610,2,620,620,620,1,30,1,Success,7
370,47,246,250,2,262,262,262,1,47,0,Success,1
371,31,297,297,1,310,310,310,1,31,1,Success,5
372,13,580,584,2,592,592,592,1,13,0,Success,0
373,15,142,146,2,153,153,153,1,15,0,Success,1
374,30,332,336,2,351,351,351,1,30,0,Success,0
375,28,775,779,2,788,788,788,1,28,0,Success,3
376,7,352,352,1,360,360,360,1,7,0,Success,0
377,27,274,274,1,285,285,285,1,27,1,Success,6
378,47,783,787,2,799,799,799,1,47,0,Success,0
379,8,283,283,1,290,290,290,1,8,1,Success,6
380,16,553,553,1,563,563,563,1,16,0,Success,3
381,29,183,187,2,198,198,198,1,29,0,Success,1
382,1,561,561,1,568,568,568,1,1,2,Success,8
383,14,151,155,2,161,161,161,1,14,0,Success,1
384,12,476,480,2,488,488,488,1,12,0,Success,0
385,15,672,672,1,680,680,680,1,15,0,Success,0
386,22,654,658,2,666,666,666,1,22,0,Success,2
387,33,378,378,1,388,388,388,1,33,0,Success,3
388,42,535,553,4,567,567,567,2,42,0,Success,0
389,29,573,577,2,591,591,591,1,29,0,Success,0
390,27,296,296,1,311,311,311,1,27,0,Success,0
391,23,440,440,1,448,448,448,1,23,0,Success,0
392,31,228,232,2,247,247,247,1,31,0,Success,0
393,20,621,625,2,632,632,632,1,20,0,Success,0
394,2,785,785,1,793,793,793,1,2,0,Success,1
395,4,677,681,2,688,688,688,1,4,0,Success,0
396,30,324,328,2,343,343,343,1,30,0,Success,0
397,35,478,482,2,492,492,492,1,35,0,Success,3
398,17,453,472,4,466,480,480,2,17,0,Success,0
399,47,420,424,2,439,439,439,1,47,0,Success,0
400,30,417,417,1,429,429,429,1,30,2,Success,10
401,18,273,273,1,281,281,281,1,18,0,Success,1
402,32,296,296,1,311,311,311,1,32,0,Success,0
403,24,278,282,2,290,290,290,1,24,0,Success,2
404,14,445,449,2,457,457,457,1,14,0,Success,1
405,35,596,600,2,615,615,615,1,35,0,Success,0
406,11,593,593,1,602,602,602,1,11,0,Success,2
407,1,254,258,2,266,266,266,1,1,1,Success,6
408,8,314,314,1,322,322,322,1,8,0,Success,2
409,50,210,210,1,222,222,222,1,50,0,Success,1
410,50,392,392,1,407,407,407,1,50,0,Success,0
411,32,536,536,1,551,551,551,1,32,0,Success,0
412,13,398,418,4,412,425,425,2,13,0,Success,1
413,13,701,705,2,714,714,714,1,13,0,Success,2
414,40,584,584,1,599,599,599,1,40,0,Success,0
415,41,602,602,1,614,614,614,1,41,0,Success,1
416,24,539,539,1,544,544,544,1,24,2,Success,8
417,1,882,882,1,888,888,888,1,1,0,Success,0
418,28,839,843,2,855,855,855,1,28,0,Success,0
419,4,611,611,1,619,619,619,1,4,2,Success,11
420,49,448,448,1,463,463,463,1,49,0,Success,0
