RAO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
686,0,0,1,0,1,1,0,1,0,0,1,0,0,0,2,0,7
687,1,0,0,1,1,0,0,0,1,0,0,1,0,2,1,0,8
688,2,4,1,0,0,4,1,1,0,1,3,1,1,1,0,2,22
689,1,0,3,0,1,2,1,0,0,1,1,1,1,1,1,0,14
690,2,3,4,1,2,3,1,2,1,1,1,0,1,3,5,1,31
691,4,2,0,2,1,0,0,0,2,0,0,1,0,2,1,0,15
692,1,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,8
693,1,1,2,0,0,1,1,0,0,1,0,0,1,0,1,0,9
694,1,2,0,1,1,3,0,1,0,1,0,0,0,0,1,0,11
695,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4
696,2,2,0,0,1,2,2,0,0,0,0,2,2,1,0,0,14
697,1,1,4,3,0,1,1,0,0,1,0,0,1,0,1,0,14
698,1,5,1,2,3,6,1,2,1,7,1,1,0,1,4,2,38
699,2,4,0,0,0,0,1,1,0,1,1,1,0,0,0,1,12
700,3,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,9
701,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,7
702,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,8
703,1,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0,9
704,4,3,0,0,1,0,1,2,2,0,0,0,1,0,0,0,14
705,3,3,1,0,1,0,0,2,1,0,0,1,0,1,1,0,14
706,4,2,1,4,2,1,1,2,1,1,0,0,3,3,3,2,30
707,2,2,2,1,1,0,1,2,0,0,1,0,1,0,3,1,17
708,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1,0,7
709,0,2,1,0,0,1,0,0,0,0,1,0,1,1,0,0,7
710,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
711,1,0,2,0,0,0,0,1,0,0,0,1,1,1,1,0,8
712,0,2,3,1,3,0,1,1,1,0,1,0,1,1,1,0,16
713,2,3,1,0,1,1,0,0,0,0,2,0,2,1,0,0,13
714,3,3,4,0,0,0,3,1,2,1,1,0,1,2,0,1,22
715,1,0,3,1,0,0,0,1,1,0,2,1,1,1,1,0,13
716,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
717,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,7
718,1,0,2,0,0,1,0,1,1,0,0,0,1,0,1,0,8
719,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,5
