MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
111,7,555,555,1,562,562,567,1,19,D2D_RA,
112,14,400,400,1,408,408,413,1,40,D2D_RA,
113,14,378,378,1,386,386,391,1,40,D2D_RA,
114,11,482,482,1,489,489,494,1,31,D2D_RA,
115,1,376,386,2,384,395,400,2,1,D2D_RA,
116,2,662,666,2,673,673,678,1,4,D2D_RA,
117,4,361,370,2,368,377,382,2,12,D2D_RA,
118,2,455,459,2,470,470,475,1,4,D2D_RA,
119,13,410,410,1,417,417,422,1,38,D2D_RA,
120,5,623,627,2,634,634,639,1,13,D2D_RA,
121,3,366,370,2,380,380,385,1,8,D2D_RA,
122,1,718,722,2,729,729,734,1,1,D2D_RA,
123,13,275,275,1,281,281,286,1,38,D2D_RA,
124,8,489,498,2,496,506,511,2,23,D2D_RA,
125,2,244,248,2,256,256,261,1,4,D2D_RA,
126,15,408,418,2,416,425,430,2,45,D2D_RA,
127,16,271,275,2,281,281,286,1,47,D2D_RA,
128,8,828,832,2,840,840,845,1,22,D2D_RA,
129,16,436,440,2,448,448,453,1,46,D2D_RA,
130,8,187,187,1,193,193,198,1,24,D2D_RA,
131,16,176,195,3,184,201,206,3,46,D2D_RA,
132,5,115,115,1,120,120,125,1,14,D2D_RA,
133,15,664,674,2,672,680,685,2,44,D2D_RA,
134,3,237,251,3,249,258,263,2,9,D2D_RA,
135,9,537,537,1,546,546,551,1,25,D2D_RA,
136,2,574,578,2,588,588,593,1,4,D2D_RA,
137,16,346,355,2,353,364,369,2,48,D2D_RA,
138,2,361,361,1,369,369,374,1,5,D2D_RA,
139,10,311,315,2,323,323,328,1,30,D2D_RA,
140,5,393,393,1,401,401,406,1,13,D2D_RA,
141,3,349,353,2,361,361,366,1,7,D2D_RA,
142,10,320,320,1,328,328,333,1,28,D2D_RA,
143,13,469,482,3,480,489,494,2,39,D2D_RA,
144,7,214,218,2,225,225,230,1,19,D2D_RA,
145,8,231,235,2,242,242,247,1,22,D2D_RA,
146,14,376,376,1,384,384,389,1,40,D2D_RA,
147,7,396,400,2,408,408,413,1,19,D2D_RA,
148,8,330,330,1,338,338,343,1,22,D2D_RA,
149,3,499,499,1,508,508,513,1,9,D2D_RA,
150,15,691,691,1,697,697,702,1,45,D2D_RA,
151,7,318,346,5,330,352,357,3,21,D2D_RA,
152,11,805,809,2,816,816,821,1,32,D2D_RA,
153,7,241,241,1,249,249,254,1,20,D2D_RA,
154,10,238,242,2,249,249,254,1,29,D2D_RA,
155,4,509,513,2,520,520,525,1,12,D2D_RA,
156,16,286,298,3,296,305,310,2,46,D2D_RA,
157,13,391,395,2,403,403,408,1,37,D2D_RA,
158,14,421,434,3,432,442,447,2,42,D2D_RA,
159,2,319,323,2,332,332,337,1,4,D2D_RA,
160,9,474,474,1,482,482,487,1,25,D2D_RA,
161,2,517,531,3,529,540,545,2,6,D2D_RA,
162,2,198,202,2,209,209,214,1,5,D2D_RA,
163,10,484,488,2,496,496,501,1,28,D2D_RA,
164,9,178,186,2,184,192,197,2,27,D2D_RA,
165,2,723,723,1,728,728,733,1,5,D2D_RA,
166,7,164,168,2,176,176,181,1,19,D2D_RA,
167,8,293,297,2,305,305,310,1,22,D2D_RA,
168,11,450,450,1,459,459,464,1,33,D2D_RA,
169,14,277,281,2,288,288,293,1,41,D2D_RA,
170,2,354,354,1,364,364,369,1,5,D2D_RA,
171,1,521,521,1,528,528,533,1,3,D2D_RA,
172,9,232,232,1,240,240,245,1,25,D2D_RA,
173,13,251,259,2,257,265,270,2,38,D2D_RA,
174,8,343,347,2,355,355,360,1,22,D2D_RA,
175,12,165,178,3,176,184,189,2,36,D2D_RA,
176,10,656,656,1,664,664,669,1,28,D2D_RA,
177,3,433,433,1,441,441,446,1,7,D2D_RA,
178,3,603,603,1,612,612,617,1,8,D2D_RA,
179,2,204,208,2,216,216,221,1,4,D2D_RA,
180,2,310,323,3,321,332,337,2,5,D2D_RA,
181,13,775,786,3,784,792,797,2,38,D2D_RA,
182,3,661,665,2,673,673,678,1,8,D2D_RA,
183,6,163,163,1,170,170,175,1,16,D2D_RA,
184,7,301,362,9,313,369,374,6,20,D2D_RA,
185,7,606,610,2,617,617,622,1,19,D2D_RA,
186,1,297,307,2,305,319,324,2,2,D2D_RA,
187,1,142,146,2,152,152,157,1,3,D2D_RA,
188,3,775,779,2,785,785,790,1,7,D2D_RA,
189,12,274,274,1,280,280,285,1,34,D2D_RA,
190,8,283,283,1,291,291,296,1,24,D2D_RA,
191,7,183,187,2,193,193,198,1,19,D2D_RA,
192,4,151,155,2,160,160,165,1,12,D2D_RA,
193,11,672,682,2,680,688,693,2,32,D2D_RA,
194,2,378,378,1,386,386,391,1,6,D2D_RA,
195,6,573,577,2,584,584,589,1,17,D2D_RA,
196,6,440,440,1,448,448,453,1,16,D2D_RA,
197,8,621,634,3,632,640,645,2,24,D2D_RA,
198,9,677,690,3,688,697,702,2,26,D2D_RA,
199,10,478,491,3,489,499,504,2,28,D2D_RA,
200,6,420,424,2,432,432,437,1,16,D2D_RA,
